Gene	PfamDomains	LengthPfamDomain	GeneLength	PfamDomLen	PfamLengthRatio	geneType	geneClusterType
YBL086C	1	198	1401	0.000713776	0.141328	singletons	Singletons_in_WGDCluster
YBL087C	1	120	918	0.00108932	0.130719	WGD	WGD_in_WGDCluster
YBL088C	3	426	8364	0.00035868	0.0509326	SSD	SSD_in_WGDCluster
YBL089W	1	445	1380	0.000724638	0.322464	WGD	WGD_in_WGDCluster
YBL090W	1	53	534	0.00187266	0.0992509	singletons	Singletons_in_ComplementCluster
YBL091C	1	306	1266	0.000789889	0.241706	singletons	Singletons_in_ComplementCluster
YBL091C-A	1	105	616	0.00162338	0.170455	singletons	Singletons_in_ComplementCluster
YBL092W	1	107	393	0.00254453	0.272265	singletons	Singletons_in_ComplementCluster
YBL093C	1	195	663	0.0015083	0.294118	singletons	Singletons_in_ComplementCluster
YBL095W	1	75	813	0.00123001	0.0922509	singletons	Singletons_in_ComplementCluster
YBL097W	2	745	2265	0.000883002	0.328918	singletons	Singletons_in_ComplementCluster
YBL098W	1	366	1383	0.000723066	0.264642	singletons	Singletons_in_ComplementCluster
YBL099W	3	415	1638	0.0018315	0.253358	singletons	Singletons_in_ComplementCluster
YBL100W-A	1	97	1317	0.000759301	0.0736522	singletons	Singletons_in_ComplementCluster
YBL100W-B	3	430	5314	0.000564546	0.0809183	singletons	Singletons_in_ComplementCluster
YBL102W	1	113	648	0.00154321	0.174383	singletons	Singletons_in_ComplementCluster
YBL103C	1	59	1461	0.000684463	0.0403833	singletons	Singletons_in_ComplementCluster
YBL104C	1	132	3117	0.000320821	0.0423484	singletons	Singletons_in_ComplementCluster
YBL105C	6	555	3456	0.00173611	0.16059	singletons	Singletons_in_ComplementCluster
YBL106C	1	402	3033	0.000329707	0.132542	WGD	WGD_in_WGDCluster
YBL107C	1	143	394	0.00253807	0.362944	singletons	Singletons_in_ComplementCluster
YBL108C-A	1	36	129	0.00775194	0.27907	singletons	Singletons_in_ComplementCluster
YBL111C	1	174	2103	0.000475511	0.0827389	singletons	Singletons_in_ComplementCluster
YBL112C	1	43	318	0.00314465	0.13522	singletons	Singletons_in_ComplementCluster
YBR001C	2	587	2343	0.000853606	0.250534	WGD	WGD_in_SSDCluster
YBR002C	1	220	861	0.00116144	0.255517	SSD	SSD_in_SSDCluster
YBR003W	1	356	1422	0.000703235	0.250352	singletons	Singletons_in_ComplementCluster
YBR004C	1	431	1302	0.000768049	0.331029	singletons	Singletons_in_ComplementCluster
YBR005W	1	164	642	0.00155763	0.255452	WGD	WGD_in_WGDCluster
YBR006W	1	461	1494	0.000669344	0.308568	singletons	Singletons_in_ComplementCluster
YBR008C	1	385	1647	0.000607165	0.233758	singletons	Singletons_in_ComplementCluster
YBR009C	1	81	312	0.00320513	0.259615	SSD	SSD_in_SSDCluster
YBR010W	1	131	411	0.00243309	0.318735	SSD	SSD_in_SSDCluster
YBR011C	1	182	864	0.00115741	0.210648	SSD	SSD_in_SSDCluster
YBR012W-A	1	97	1323	0.000755858	0.0733182	singletons	Singletons_in_ComplementCluster
YBR012W-B	3	437	5272	0.000569044	0.0828907	singletons	Singletons_in_ComplementCluster
YBR014C	1	65	612	0.00163399	0.106209	WGD	WGD_in_WGDCluster
YBR015C	1	270	1794	0.000557414	0.150502	SSD	SSD_in_SSDCluster
YBR016W	1	36	387	0.00258398	0.0930233	WGD	WGD_in_SSDCluster
YBR017C	2	84	2757	0.000725426	0.0304679	SSD	SSD_in_SSDCluster
YBR018C	2	357	1101	0.00181653	0.324251	singletons	Singletons_in_SSDCluster
YBR019C	2	652	2100	0.000952381	0.310476	singletons	Singletons_in_SSDCluster
YBR020W	3	201	1587	0.00189036	0.126654	WGD	WGD_in_SSDCluster
YBR021W	1	459	1902	0.000525762	0.241325	SSD	SSD_in_SSDCluster
YBR022W	1	141	534	0.00187266	0.264045	singletons	Singletons_in_SSDCluster
YBR023C	1	523	3498	0.000285878	0.149514	singletons	Singletons_in_SSDCluster
YBR024W	1	136	906	0.00110375	0.15011	WGD	WGD_in_SSDCluster
YBR025C	2	225	1185	0.00168776	0.189873	SSD	SSD_in_SSDCluster
YBR026C	1	142	1143	0.000874891	0.124234	singletons	Singletons_in_ComplementCluster
YBR028C	2	333	1578	0.00126743	0.211027	singletons	Singletons_in_ComplementCluster
YBR029C	1	330	1374	0.000727802	0.240175	singletons	Singletons_in_ComplementCluster
YBR030W	1	298	1659	0.000602773	0.179626	singletons	Singletons_in_ComplementCluster
YBR031W	2	317	1089	0.00183655	0.291093	WGD	WGD_in_WGDCluster
YBR033W	1	41	2760	0.000362319	0.0148551	SSD	SSD_in_SSDCluster
YBR034C	1	123	1047	0.00095511	0.117479	singletons	Singletons_in_SSDCluster
YBR035C	2	135	687	0.00291121	0.196507	singletons	Singletons_in_SSDCluster
YBR036C	1	402	1233	0.00081103	0.326034	singletons	Singletons_in_SSDCluster
YBR037C	1	136	888	0.00112613	0.153153	WGD	WGD_in_SSDCluster
YBR038W	2	226	2892	0.000691563	0.0781466	SSD	SSD_in_SSDCluster
YBR039W	1	275	936	0.00106838	0.293803	singletons	Singletons_in_SSDCluster
YBR040W	1	200	897	0.00111483	0.222965	singletons	Singletons_in_SSDCluster
YBR041W	1	449	2010	0.000497512	0.223383	singletons	Singletons_in_SSDCluster
YBR042C	2	284	1194	0.00167504	0.237856	WGD	WGD_in_SSDCluster
YBR043C	1	522	2070	0.000483092	0.252174	SSD	SSD_in_SSDCluster
YBR046C	2	206	1005	0.00199005	0.204975	singletons	Singletons_in_ComplementCluster
YBR047W	1	122	528	0.00189394	0.231061	singletons	Singletons_in_ComplementCluster
YBR048W	2	131	982	0.00203666	0.133401	singletons	Singletons_in_ComplementCluster
YBR049C	1	60	2433	0.000411015	0.0246609	WGD	WGD_in_WGDCluster
YBR050C	1	22	1017	0.000983284	0.0216323	WGD	WGD_in_WGDCluster
YBR053C	1	292	1077	0.000928505	0.271123	singletons	Singletons_in_WGDCluster
YBR054W	1	231	1035	0.000966184	0.223188	WGD	WGD_in_WGDCluster
YBR055C	1	120	2700	0.00037037	0.0444444	singletons	Singletons_in_ComplementCluster
YBR057C	1	181	1101	0.000908265	0.164396	singletons	Singletons_in_ComplementCluster
YBR058C	4	640	2346	0.00170503	0.272805	singletons	Singletons_in_ComplementCluster
YBR059C	1	252	3327	0.000300571	0.0757439	singletons	Singletons_in_ComplementCluster
YBR060C	1	349	1863	0.000536769	0.187332	singletons	Singletons_in_ComplementCluster
YBR061C	1	186	933	0.00107181	0.199357	SSD	SSD_in_SSDCluster
YBR062C	1	46	625	0.0016	0.0736	singletons	Singletons_in_SSDCluster
YBR067C	1	99	633	0.00157978	0.156398	SSD	SSD_in_SSDCluster
YBR068C	1	467	1830	0.000546448	0.255191	WGD	WGD_in_SSDCluster
YBR069C	1	463	1860	0.000537634	0.248925	singletons	Singletons_in_SSDCluster
YBR070C	1	179	714	0.00140056	0.2507	singletons	Singletons_in_SSDCluster
YBR072W	1	111	645	0.00155039	0.172093	SSD	SSD_in_SSDCluster
YBR073W	3	538	2877	0.00104275	0.187	SSD	SSD_in_SSDCluster
YBR074W	1	189	2931	0.00034118	0.0644831	singletons	Singletons_in_ComplementCluster
YBR076W	1	142	1020	0.000980392	0.139216	singletons	Singletons_in_ComplementCluster
YBR077C	1	158	489	0.00204499	0.323108	singletons	Singletons_in_ComplementCluster
YBR080C	4	419	2277	0.0017567	0.184014	singletons	Singletons_in_ComplementCluster
YBR081C	1	81	3999	0.000250063	0.0202551	singletons	Singletons_in_ComplementCluster
YBR082C	1	137	542	0.00184502	0.252768	singletons	Singletons_in_ComplementCluster
YBR083W	1	67	1461	0.000684463	0.045859	singletons	Singletons_in_ComplementCluster
YBR084C-A	1	143	1076	0.000929368	0.1329	singletons	Singletons_in_ComplementCluster
YBR084W	3	914	2928	0.00102459	0.312158	SSD	SSD_in_SSDCluster
YBR085W	3	291	924	0.00324675	0.314935	WGD	WGD_in_WGDCluster
YBR086C	1	482	2841	0.000351989	0.169659	singletons	Singletons_in_WGDCluster
YBR087W	1	176	1065	0.000938967	0.165258	singletons	Singletons_in_WGDCluster
YBR088C	2	252	777	0.002574	0.324324	singletons	Singletons_in_WGDCluster
YBR089C-A	1	68	300	0.00333333	0.226667	WGD	WGD_in_WGDCluster
YBR091C	1	62	330	0.0030303	0.187879	SSD	SSD_in_SSDCluster
YBR092C	1	334	1404	0.000712251	0.237892	SSD	SSD_in_SSDCluster
YBR093C	1	334	1404	0.000712251	0.237892	SSD	SSD_in_SSDCluster
YBR094W	2	579	2262	0.000884173	0.255968	singletons	Singletons_in_ComplementCluster
YBR095C	1	159	1293	0.000773395	0.12297	singletons	Singletons_in_ComplementCluster
YBR096W	1	132	693	0.001443	0.190476	singletons	Singletons_in_ComplementCluster
YBR097W	1	258	4365	0.000229095	0.0591065	singletons	Singletons_in_ComplementCluster
YBR098W	1	188	2076	0.000481696	0.0905588	singletons	Singletons_in_ComplementCluster
YBR101C	1	81	873	0.00114548	0.0927835	singletons	Singletons_in_ComplementCluster
YBR102C	2	289	2262	0.000884173	0.127763	singletons	Singletons_in_ComplementCluster
YBR103W	4	210	1608	0.00248756	0.130597	singletons	Singletons_in_ComplementCluster
YBR104W	3	272	990	0.0030303	0.274747	WGD	WGD_in_WGDCluster
YBR105C	1	225	1089	0.000918274	0.206612	SSD	SSD_in_SSDCluster
YBR106W	1	184	567	0.00176367	0.324515	singletons	Singletons_in_SSDCluster
YBR108W	1	91	2844	0.000351617	0.0319972	singletons	Singletons_in_SSDCluster
YBR109C	2	127	444	0.0045045	0.286036	SSD	SSD_in_SSDCluster
YBR110W	1	177	1350	0.000740741	0.131111	singletons	Singletons_in_SSDCluster
YBR111C	1	133	696	0.00143678	0.191092	singletons	Singletons_in_SSDCluster
YBR111W-A	1	80	441	0.00226757	0.181406	singletons	Singletons_in_SSDCluster
YBR112C	2	64	2901	0.000689417	0.0220614	SSD	SSD_in_SSDCluster
YBR114W	3	504	2373	0.00126422	0.212389	SSD	SSD_in_SSDCluster
YBR115C	3	779	4179	0.000717875	0.186408	singletons	Singletons_in_ComplementCluster
YBR117C	3	622	2046	0.00146628	0.304008	WGD	WGD_in_WGDCluster
YBR118W	3	407	1377	0.00217865	0.29557	WGD	WGD_in_WGDCluster
YBR119W	1	64	986	0.0010142	0.0649087	singletons	Singletons_in_WGDCluster
YBR121C	1	92	2004	0.000499002	0.0459082	WGD	WGD_in_WGDCluster
YBR123C	2	296	1950	0.00102564	0.151795	singletons	Singletons_in_ComplementCluster
YBR125C	1	266	1182	0.000846024	0.225042	singletons	Singletons_in_ComplementCluster
YBR126C	1	466	1488	0.000672043	0.313172	singletons	Singletons_in_ComplementCluster
YBR127C	2	292	1554	0.001287	0.187902	SSD	SSD_in_SSDCluster
YBR128C	1	288	1035	0.000966184	0.278261	singletons	Singletons_in_ComplementCluster
YBR129C	1	102	987	0.00101317	0.103343	singletons	Singletons_in_ComplementCluster
YBR130C	1	226	1278	0.000782473	0.176839	singletons	Singletons_in_ComplementCluster
YBR131W	1	121	2115	0.000472813	0.0572104	singletons	Singletons_in_ComplementCluster
YBR132C	1	473	1791	0.000558347	0.264098	singletons	Singletons_in_ComplementCluster
YBR133C	3	776	2484	0.00120773	0.312399	singletons	Singletons_in_ComplementCluster
YBR135W	1	76	453	0.00220751	0.16777	singletons	Singletons_in_ComplementCluster
YBR136W	4	679	7107	0.000562825	0.0955396	SSD	SSD_in_SSDCluster
YBR137W	1	130	540	0.00185185	0.240741	singletons	Singletons_in_SSDCluster
YBR139W	1	411	1527	0.000654879	0.269155	SSD	SSD_in_SSDCluster
YBR140C	2	177	9279	0.00021554	0.0190753	WGD	WGD_in_WGDCluster
YBR141C	1	210	1014	0.000986193	0.207101	singletons	Singletons_in_WGDCluster
YBR142W	2	318	2322	0.000861326	0.136951	singletons	Singletons_in_WGDCluster
YBR143C	3	389	1314	0.00228311	0.296043	singletons	Singletons_in_WGDCluster
YBR145W	2	238	1056	0.00189394	0.225379	WGD	WGD_in_WGDCluster
YBR146W	1	120	837	0.00119474	0.143369	singletons	Singletons_in_WGDCluster
YBR147W	2	120	891	0.00224467	0.13468	WGD	WGD_in_WGDCluster
YBR149W	1	279	1035	0.000966184	0.269565	singletons	Singletons_in_WGDCluster
YBR150C	2	333	3285	0.000608828	0.10137	WGD	WGD_in_WGDCluster
YBR151W	1	239	951	0.00105152	0.251314	SSD	SSD_in_SSDCluster
YBR153W	1	207	735	0.00136054	0.281633	singletons	Singletons_in_ComplementCluster
YBR154C	2	166	648	0.00308642	0.256173	singletons	Singletons_in_ComplementCluster
YBR155W	2	149	1158	0.00172712	0.12867	singletons	Singletons_in_ComplementCluster
YBR156C	1	50	2097	0.000476872	0.0238436	singletons	Singletons_in_ComplementCluster
YBR159W	1	205	1044	0.000957854	0.19636	singletons	Singletons_in_SSDCluster
YBR160W	1	287	897	0.00111483	0.319955	SSD	SSD_in_SSDCluster
YBR161W	1	88	1131	0.000884173	0.0778073	WGD	WGD_in_SSDCluster
YBR162C	2	285	1368	0.00146199	0.208333	SSD	SSD_in_SSDCluster
YBR162W-A	1	61	198	0.00505051	0.308081	singletons	Singletons_in_ComplementCluster
YBR163W	1	441	1758	0.000568828	0.250853	singletons	Singletons_in_ComplementCluster
YBR164C	1	173	552	0.00181159	0.313406	singletons	Singletons_in_ComplementCluster
YBR166C	1	247	1359	0.000735835	0.181751	singletons	Singletons_in_ComplementCluster
YBR167C	1	109	423	0.00236407	0.257683	singletons	Singletons_in_ComplementCluster
YBR168W	1	384	1242	0.000805153	0.309179	singletons	Singletons_in_ComplementCluster
YBR169C	1	640	2082	0.000480307	0.307397	WGD	WGD_in_WGDCluster
YBR170C	2	461	1743	0.00114745	0.264487	singletons	Singletons_in_WGDCluster
YBR171W	1	176	621	0.00161031	0.283414	singletons	Singletons_in_WGDCluster
YBR172C	1	43	2223	0.000449843	0.0193432	WGD	WGD_in_WGDCluster
YBR173C	1	122	447	0.00223714	0.272931	singletons	Singletons_in_WGDCluster
YBR175W	4	161	948	0.00421941	0.169831	singletons	Singletons_in_WGDCluster
YBR176W	1	265	939	0.00106496	0.282215	singletons	Singletons_in_WGDCluster
YBR177C	1	264	1356	0.000737463	0.19469	WGD	WGD_in_WGDCluster
YBR179C	1	182	2568	0.000389408	0.0708723	singletons	Singletons_in_WGDCluster
YBR180W	1	411	1719	0.000581734	0.239092	SSD	SSD_in_WGDCluster
YBR181C	1	125	1063	0.000940734	0.117592	singletons	Singletons_in_WGDCluster
YBR182C	1	47	1359	0.000735835	0.0345843	WGD	WGD_in_WGDCluster
YBR183W	1	270	951	0.00105152	0.283912	WGD	WGD_in_WGDCluster
YBR185C	1	236	837	0.00119474	0.281959	singletons	Singletons_in_ComplementCluster
