chr	TSS	TTS	Gene	.	strand	geneType	geneClusterType
chrI	74020	74824	YAL037W	YAL037W	+	WGD	WGD_in_SSDCluster
chrI	75043	76153	YAL036C	RBG1	-	SSD	SSD_in_WGDCluster
chrI	76427	79436	YAL035W	FUN12	+	SSD	SSD_in_WGDCluster
chrI	79489	79843	YAL034C-B	YAL034C-B	-	singletons	Singletons_in_ComplementCluster
chrI	79718	80588	YAL034W-A	MTW1	+	singletons	Singletons_in_WGDCluster
chrI	80710	81952	YAL034C	FUN19	-	WGD	WGD_in_WGDCluster
chrI	82706	83228	YAL033W	POP5	+	singletons	Singletons_in_WGDCluster
chrI	83335	84475	YAL032C	PRP45	-	singletons	Singletons_in_WGDCluster
chrI	84669	84978	YAL031W-A	YAL031W-A	+	singletons	Singletons_in_ComplementCluster
chrI	84749	87032	YAL031C	GIP4	-	singletons	Singletons_in_WGDCluster
chrI	87286	87753	YAL030W	SNC1	+	singletons	Singletons_in_ComplementCluster
chrI	87855	92271	YAL029C	MYO4	-	WGD	WGD_in_WGDCluster
chrI	92900	94487	YAL028W	FRT2	+	WGD	WGD_in_WGDCluster
chrI	94687	95473	YAL027W	SAW1	+	singletons	Singletons_in_ComplementCluster
chrI	95386	95824	YAL026C-A	YAL026C-A	-	singletons	Singletons_in_ComplementCluster
chrI	95630	99698	YAL026C	DRS2	-	singletons	Singletons_in_ComplementCluster
chrI	99305	99869	HRA1	HRA1	+	singletons	Singletons_in_ComplementCluster
chrI	99725	100532	YAL025C	MAK16	-	singletons	Singletons_in_ComplementCluster
chrI	101565	105873	YAL024C	LTE1	-	singletons	Singletons_in_ComplementCluster
chrI	106272	108552	YAL023C	PMT2	-	WGD	WGD_in_WGDCluster
chrI	108877	110431	YAL022C	FUN26	-	singletons	Singletons_in_ComplementCluster
chrI	110846	113360	YAL021C	CCR4	-	SSD	SSD_in_SSDCluster
chrI	113614	114616	YAL020C	ATS1	-	singletons	Singletons_in_ComplementCluster
chrI	114250	114820	YAL019W-A	YAL019W-A	+	singletons	Singletons_in_ComplementCluster
chrI	114919	118315	YAL019W	FUN30	+	singletons	Singletons_in_ComplementCluster
chrI	118564	119542	YAL018C	LDS1	-	WGD	WGD_in_WGDCluster
chrI	120225	124296	YAL017W	PSK1	+	WGD	WGD_in_WGDCluster
chrI	124307	124493	YAL016C-B	YAL016C-B	-	singletons	Singletons_in_ComplementCluster
chrI	124755	125070	YAL016C-A	YAL016C-A	-	singletons	Singletons_in_ComplementCluster
chrI	124879	126787	YAL016W	TPD3	+	singletons	Singletons_in_WGDCluster
chrI	126903	128103	YAL015C	NTG1	-	WGD	WGD_in_WGDCluster
chrI	128252	129020	YAL014C	SYN8	-	singletons	Singletons_in_WGDCluster
chrI	129270	130533	YAL013W	DEP1	+	singletons	Singletons_in_WGDCluster
chrI	130801	131986	YAL012W	CYS3	+	SSD	SSD_in_WGDCluster
chrI	132201	134079	YAL011W	SWC3	+	singletons	Singletons_in_WGDCluster
chrI	134185	135667	YAL010C	MDM10	-	singletons	Singletons_in_WGDCluster
chrI	135855	136635	YAL009W	SPO7	+	singletons	Singletons_in_WGDCluster
chrI	136915	137512	YAL008W	FUN14	+	singletons	Singletons_in_WGDCluster
chrI	137699	138347	YAL007C	ERP2	-	WGD	WGD_in_SSDCluster
chrI	139504	141433	YAL005C	SSA1	-	SSD	SSD_in_SSDCluster
chrI	140761	141409	YAL004W	YAL004W	+	singletons	Singletons_in_SSDCluster
chrI	142175	143162	YAL003W	EFB1	+	singletons	Singletons_in_ComplementCluster
chrI	142368	142470	snR18		+	singletons	Singletons_in_ComplementCluster
chrI	143708	147533	YAL002W	VPS8	+	singletons	Singletons_in_ComplementCluster
chrI	147595	151168	YAL001C	TFC3	-	singletons	Singletons_in_ComplementCluster
chrI	152258	153878	YAR002W	NUP60	+	singletons	Singletons_in_ComplementCluster
chrI	154066	154726	YAR002C-A	ERP1	-	WGD	WGD_in_WGDCluster
chrI	155006	156287	YAR003W	SWD1	+	singletons	Singletons_in_ComplementCluster
chrI	156755	158621	YAR007C	RFA1	-	singletons	Singletons_in_ComplementCluster
chrI	158966	159794	YAR008W	SEN34	+	singletons	Singletons_in_ComplementCluster
chrI	160597	164188	YAR009C	YAR009C	-	singletons	Singletons_in_ComplementCluster
chrI	164544	165867	YAR010C	YAR010C	-	singletons	Singletons_in_ComplementCluster
chrI	166742	168866	YAR014C	BUD14	-	singletons	Singletons_in_ComplementCluster
chrI	169369	170290	YAR015W	ADE1	+	singletons	Singletons_in_ComplementCluster
chrI	170390	171698	YAR018C	KIN3	-	singletons	Singletons_in_ComplementCluster
chrI	172208	175133	YAR019C	CDC15	-	singletons	Singletons_in_ComplementCluster
chrI	174995	175340	YAR019W-A	YAR019W-A	+	singletons	Singletons_in_ComplementCluster
chrI	176853	177021	YAR020C	PAU7	-	singletons	Singletons_in_ComplementCluster
chrI	179278	179818	YAR023C	YAR023C	-	singletons	Singletons_in_ComplementCluster
chrI	183763	184471	YAR027W	UIP3	+	SSD	SSD_in_SSDCluster
chrI	184885	185590	YAR028W	YAR028W	+	SSD	SSD_in_SSDCluster
chrI	186314	186539	YAR029W	YAR029W	+	singletons	Singletons_in_SSDCluster
chrI	186505	186847	YAR030C	YAR030C	-	singletons	Singletons_in_ComplementCluster
chrI	186829	187726	YAR031W	PRM9	+	SSD	SSD_in_SSDCluster
chrI	188100	188805	YAR033W	MST28	+	SSD	SSD_in_SSDCluster
chrI	190186	192250	YAR035W	YAT1	+	SSD	SSD_in_SSDCluster
chrI	192330	192411	YAR035C-A	YAR035C-A	-	singletons	Singletons_in_ComplementCluster
chrI	192612	196179	YAR042W	SWH1	+	WGD	WGD_in_WGDCluster
chrI	201459	201780	YAR047C	YAR047C	-	singletons	Singletons_in_ComplementCluster
chrI	203393	208007	YAR050W	FLO1	+	SSD	SSD_in_SSDCluster
chrI	208357	208654	YAR053W	YAR053W	+	singletons	Singletons_in_ComplementCluster
chrI	217147	217483	YAR060C	YAR060C	-	singletons	Singletons_in_ComplementCluster
chrI	218130	218334	YAR061W	YAR061W	+	singletons	Singletons_in_ComplementCluster
chrI	218539	219136	YAR062W	YAR062W	+	singletons	Singletons_in_ComplementCluster
chrI	220188	220488	YAR064W	YAR064W	+	SSD	SSD_in_SSDCluster
chrI	221039	221651	YAR066W	YAR066W	+	SSD	SSD_in_SSDCluster
chrI	222396	222882	YAR068W	YAR068W	+	singletons	Singletons_in_ComplementCluster
chrI	224001	224295	YAR069C	YAR069C	-	singletons	Singletons_in_SSDCluster
chrI	224553	224853	YAR070C	YAR070C	-	singletons	Singletons_in_ComplementCluster
chrI	225450	226854	YAR071W	PHO11	+	SSD	SSD_in_SSDCluster
chrI	227732	228944	YAR073W	IMD1	+	singletons	Singletons_in_ComplementCluster
chrI	228834	229308	YAR075W	YAR075W	+	singletons	Singletons_in_ComplementCluster
chrII	968	1628	YBL113W-A	YBL113W-A	+	singletons	Singletons_in_ComplementCluster
chrII	2581	2899	YBL112C	YBL112C	-	singletons	Singletons_in_ComplementCluster
chrII	2906	5009	YBL111C	YBL111C	-	singletons	Singletons_in_ComplementCluster
chrII	5789	6125	YBL109W	YBL109W	+	singletons	Singletons_in_ComplementCluster
chrII	7604	7733	YBL108C-A	YBL108C-A	-	singletons	Singletons_in_ComplementCluster
chrII	8176	8482	YBL108W	YBL108W	+	singletons	Singletons_in_ComplementCluster
chrII	9267	9372	YBL107W-A	YBL107W-A	+	singletons	Singletons_in_ComplementCluster
chrII	9960	10354	YBL107C	MIX23	-	singletons	Singletons_in_ComplementCluster
chrII	10846	13879	YBL106C	SRO77	-	WGD	WGD_in_WGDCluster
chrII	14240	17696	YBL105C	PKC1	-	singletons	Singletons_in_ComplementCluster
chrII	18176	21293	YBL104C	SEA4	-	singletons	Singletons_in_ComplementCluster
chrII	22074	23535	YBL103C	RTG3	-	singletons	Singletons_in_ComplementCluster
chrII	24097	24745	YBL102W	SFT2	+	singletons	Singletons_in_ComplementCluster
chrII	24945	28299	YBL101C	ECM21	-	WGD	WGD_in_WGDCluster
chrII	28426	28546	YBL100W-C	YBL100W-C	+	singletons	Singletons_in_ComplementCluster
chrII	29931	31248	YBL100W-A	YBL100W-A	+	singletons	Singletons_in_ComplementCluster
chrII	29931	35245	YBL100W-B	YBL100W-B	+	singletons	Singletons_in_ComplementCluster
chrII	36985	37300	YBL100C	YBL100C	-	singletons	Singletons_in_ComplementCluster
chrII	37049	38687	YBL099W	ATP1	+	singletons	Singletons_in_ComplementCluster
chrII	39141	40524	YBL098W	BNA4	+	singletons	Singletons_in_ComplementCluster
chrII	40827	43092	YBL097W	BRN1	+	singletons	Singletons_in_ComplementCluster
chrII	43170	43479	YBL096C	YBL096C	-	singletons	Singletons_in_ComplementCluster
chrII	43273	44086	YBL095W	MRX3	+	singletons	Singletons_in_ComplementCluster
chrII	43761	44094	YBL094C	YBL094C	-	singletons	Singletons_in_ComplementCluster
chrII	44252	44915	YBL093C	ROX3	-	singletons	Singletons_in_ComplementCluster
chrII	45974	46367	YBL092W	RPL32	+	singletons	Singletons_in_ComplementCluster
chrII	46561	47177	YBL091C-A	SCS22	-	singletons	Singletons_in_ComplementCluster
chrII	47359	48625	YBL091C	MAP2	-	singletons	Singletons_in_WGDCluster
chrII	48821	49355	YBL090W	MRP21	+	singletons	Singletons_in_WGDCluster
chrII	49570	50950	YBL089W	AVT5	+	WGD	WGD_in_WGDCluster
chrII	51015	59379	YBL088C	TEL1	-	SSD	SSD_in_WGDCluster
chrII	59817	60735	YBL087C	RPL23A	-	WGD	WGD_in_SSDCluster
chrII	61198	62599	YBL086C	YBL086C	-	singletons	Singletons_in_WGDCluster
chrII	63872	66815	YBL085W	BOI1	+	WGD	WGD_in_SSDCluster
chrII	67165	69442	YBL084C	CDC27	-	SSD	SSD_in_WGDCluster
chrII	69709	70135	YBL083C	YBL083C	-	singletons	Singletons_in_WGDCluster
chrII	69747	71124	YBL082C	ALG3	-	singletons	Singletons_in_WGDCluster
chrII	71862	72969	YBL081W	YBL081W	+	singletons	Singletons_in_WGDCluster
chrII	73066	74692	YBL080C	PET112	-	singletons	Singletons_in_WGDCluster
chrII	75255	79764	YBL079W	NUP170	+	WGD	WGD_in_WGDCluster
chrII	80374	80728	YBL078C	ATG8	-	singletons	Singletons_in_WGDCluster
chrII	80894	81326	YBL077W	YBL077W	+	singletons	Singletons_in_ComplementCluster
chrII	81040	84259	YBL076C	ILS1	-	SSD	SSD_in_WGDCluster
chrII	84496	86446	YBL075C	SSA3	-	WGD	WGD_in_WGDCluster
chrII	86719	87787	YBL074C	AAR2	-	singletons	Singletons_in_WGDCluster
chrII	87643	87955	YBL073W	YBL073W	+	singletons	Singletons_in_WGDCluster
chrII	88187	88275	snR56		+	singletons	Singletons_in_ComplementCluster
chrII	88520	89123	YBL072C	RPS8A	-	WGD	WGD_in_WGDCluster
chrII	89455	89554	YBL071C-B	YBL071C-B	-	singletons	Singletons_in_ComplementCluster
chrII	89975	90224	YBL071W-A	KTI11	+	singletons	Singletons_in_ComplementCluster
chrII	90220	90529	YBL071C	YBL071C	-	singletons	Singletons_in_WGDCluster
chrII	90602	90923	YBL070C	YBL070C	-	singletons	Singletons_in_ComplementCluster
chrII	90738	92028	YBL069W	AST1	+	WGD	WGD_in_WGDCluster
chrII	91791	92028	YBL068W-A	YBL068W-A	+	singletons	Singletons_in_ComplementCluster
chrII	92411	93395	YBL068W	PRS4	+	WGD	WGD_in_WGDCluster
chrII	93640	95884	YBL067C	UBP13	-	WGD	WGD_in_WGDCluster
chrII	98969	100617	YBL066C	SEF1	-	SSD	SSD_in_WGDCluster
chrII	99872	100634	YBL064C	PRX1	-	singletons	Singletons_in_WGDCluster
chrII	99964	100194	YBL065W	YBL065W	+	singletons	Singletons_in_ComplementCluster
chrII	101887	105223	YBL063W	KIP1	+	SSD	SSD_in_WGDCluster
chrII	105309	105690	YBL062W	YBL062W	+	singletons	Singletons_in_WGDCluster
chrII	105317	107408	YBL061C	SKT5	-	WGD	WGD_in_WGDCluster
chrII	107933	109997	YBL060W	YEL1	+	singletons	Singletons_in_WGDCluster
chrII	110126	110541	YBL059C-A	CMC2	-	singletons	Singletons_in_ComplementCluster
chrII	110595	111246	YBL059W	YBL059W	+	WGD	WGD_in_WGDCluster
chrII	111438	112710	YBL058W	SHP1	+	singletons	Singletons_in_WGDCluster
chrII	112802	113447	YBL057C	PTH2	-	singletons	Singletons_in_WGDCluster
chrII	113764	115171	YBL056W	PTC3	+	WGD	WGD_in_WGDCluster
chrII	115575	116832	YBL055C	YBL055C	-	singletons	Singletons_in_WGDCluster
chrII	117591	119169	YBL054W	TOD6	+	WGD	WGD_in_WGDCluster
chrII	119337	119712	YBL053W	YBL053W	+	singletons	Singletons_in_ComplementCluster
chrII	119381	121877	YBL052C	SAS3	-	SSD	SSD_in_SSDCluster
chrII	122755	124762	YBL051C	PIN4	-	singletons	Singletons_in_SSDCluster
chrII	125127	126122	YBL050W	SEC17	+	singletons	Singletons_in_ComplementCluster
chrII	126830	127247	YBL049W	MOH1	+	singletons	Singletons_in_SSDCluster
chrII	127301	127613	YBL048W	RRT1	+	singletons	Singletons_in_ComplementCluster
chrII	127897	132043	YBL047C	EDE1	-	SSD	SSD_in_SSDCluster
chrII	132426	133752	YBL046W	PSY4	+	singletons	Singletons_in_SSDCluster
chrII	134145	135519	YBL045C	COR1	-	singletons	Singletons_in_SSDCluster
chrII	136000	136369	YBL044W	YBL044W	+	singletons	Singletons_in_SSDCluster
chrII	136690	137464	YBL043W	ECM13	+	WGD	WGD_in_SSDCluster
chrII	138343	140263	YBL042C	FUI1	-	singletons	Singletons_in_WGDCluster
chrII	141249	141975	YBL041W	PRE7	+	SSD	SSD_in_WGDCluster
chrII	142114	142871	YBL040C	ERD2	-	singletons	Singletons_in_ComplementCluster
chrII	143395	143575	YBL039W-B	YBL039W-B	+	singletons	Singletons_in_ComplementCluster
chrII	143991	145731	YBL039C	URA7	-	WGD	WGD_in_WGDCluster
chrII	144950	145034	YBL039C-A	YBL039C-A	-	singletons	Singletons_in_ComplementCluster
chrII	146189	146888	YBL038W	MRPL16	+	singletons	Singletons_in_ComplementCluster
chrII	147211	150289	YBL037W	APL3	+	singletons	Singletons_in_ComplementCluster
chrII	150449	151223	YBL036C	YBL036C	-	singletons	Singletons_in_ComplementCluster
chrII	151495	153613	YBL035C	POL12	-	singletons	Singletons_in_ComplementCluster
chrII	153850	158392	YBL034C	STU1	-	singletons	Singletons_in_ComplementCluster
chrII	158658	159696	YBL033C	RIB1	-	singletons	Singletons_in_ComplementCluster
chrII	160186	161332	YBL032W	HEK2	+	SSD	SSD_in_SSDCluster
chrII	161701	162718	YBL031W	SHE1	+	singletons	Singletons_in_ComplementCluster
chrII	163043	164000	YBL030C	PET9	-	WGD	WGD_in_WGDCluster
chrII	164490	164775	YBL029C-A	YBL029C-A	-	singletons	Singletons_in_ComplementCluster
chrII	166136	167267	YBL029W	YBL029W	+	singletons	Singletons_in_WGDCluster
chrII	167520	167841	YBL028C	YBL028C	-	singletons	Singletons_in_WGDCluster
chrII	168425	169379	YBL027W	RPL19B	+	WGD	WGD_in_WGDCluster
chrII	170625	171041	YBL026W	LSM2	+	singletons	Singletons_in_ComplementCluster
chrII	171483	171921	YBL025W	RRN10	+	singletons	Singletons_in_ComplementCluster
chrII	172536	174591	YBL024W	NCL1	+	SSD	SSD_in_SSDCluster
chrII	174922	177529	YBL023C	MCM2	-	singletons	Singletons_in_ComplementCluster
chrII	177876	181278	YBL022C	PIM1	-	singletons	Singletons_in_ComplementCluster
chrII	181662	182097	YBL021C	HAP3	-	singletons	Singletons_in_ComplementCluster
chrII	182403	184128	YBL020W	RFT1	+	singletons	Singletons_in_ComplementCluster
chrII	184355	185918	YBL019W	APN2	+	singletons	Singletons_in_ComplementCluster
chrII	186000	186477	YBL018C	POP8	-	singletons	Singletons_in_ComplementCluster
chrII	186846	191586	YBL017C	PEP1	-	singletons	Singletons_in_ComplementCluster
chrII	192453	193515	YBL016W	FUS3	+	SSD	SSD_in_SSDCluster
chrII	194124	195705	YBL015W	ACH1	+	singletons	Singletons_in_ComplementCluster
chrII	199066	201751	YBL014C	RRN6	-	singletons	Singletons_in_ComplementCluster
chrII	202058	203264	YBL013W	FMT1	+	singletons	Singletons_in_ComplementCluster
chrII	203408	203810	YBL012C	YBL012C	-	singletons	Singletons_in_ComplementCluster
chrII	203540	205820	YBL011W	SCT1	+	SSD	SSD_in_SSDCluster
chrII	206109	206952	YBL010C	YBL010C	-	singletons	Singletons_in_SSDCluster
chrII	207196	209227	YBL009W	ALK2	+	WGD	WGD_in_SSDCluster
chrII	209411	209651	YBL008W-A	YBL008W-A	+	singletons	Singletons_in_ComplementCluster
chrII	209655	212178	YBL008W	HIR1	+	SSD	SSD_in_WGDCluster
chrII	212634	216369	YBL007C	SLA1	-	singletons	Singletons_in_WGDCluster
chrII	216589	217132	YBL006C	LDB7	-	singletons	Singletons_in_WGDCluster
chrII	216713	216863	YBL006W-A	YBL006W-A	+	singletons	Singletons_in_ComplementCluster
chrII	217472	220403	YBL005W	PDR3	+	WGD	WGD_in_WGDCluster
chrII	221332	222655	YBL005W-A	YBL005W-A	+	singletons	Singletons_in_WGDCluster
chrII	221332	226601	YBL005W-B	YBL005W-B	+	singletons	Singletons_in_ComplementCluster
chrII	227638	235120	YBL004W	UTP20	+	singletons	Singletons_in_ComplementCluster
chrII	235396	235795	YBL003C	HTA2	-	SSD	SSD_in_SSDCluster
chrII	236494	236890	YBL002W	HTB2	+	SSD	SSD_in_SSDCluster
chrII	237154	237469	YBL001C	ECM15	-	singletons	Singletons_in_SSDCluster
chrII	238942	241285	YBR001C	NTH2	-	WGD	WGD_in_SSDCluster
chrII	241709	242570	YBR002C	RER2	-	SSD	SSD_in_WGDCluster
chrII	242810	244232	YBR003W	COQ1	+	singletons	Singletons_in_WGDCluster
chrII	244367	245669	YBR004C	GPI18	-	singletons	Singletons_in_WGDCluster
chrII	245907	246549	YBR005W	RCR1	+	WGD	WGD_in_WGDCluster
chrII	247011	248505	YBR006W	UGA2	+	singletons	Singletons_in_ComplementCluster
chrII	248806	251017	YBR007C	DSF2	-	singletons	Singletons_in_ComplementCluster
chrII	252563	254210	YBR008C	FLR1	-	singletons	Singletons_in_ComplementCluster
chrII	255370	255682	YBR009C	HHF1	-	SSD	SSD_in_SSDCluster
chrII	256328	256739	YBR010W	HHT1	+	SSD	SSD_in_SSDCluster
chrII	257109	257973	YBR011C	IPP1	-	SSD	SSD_in_SSDCluster
chrII	259144	259564	YBR012C	YBR012C	-	singletons	Singletons_in_ComplementCluster
chrII	259866	265138	YBR012W-B	YBR012W-B	+	singletons	Singletons_in_ComplementCluster
chrII	259866	261189	YBR012W-A	YBR012W-A	+	singletons	Singletons_in_SSDCluster
chrII	265489	265879	YBR013C	YBR013C	-	singletons	Singletons_in_SSDCluster
chrII	266724	267336	YBR014C	GRX7	-	WGD	WGD_in_SSDCluster
chrII	267709	269503	YBR015C	MNN2	-	SSD	SSD_in_WGDCluster
chrII	270246	270633	YBR016W	YBR016W	+	WGD	WGD_in_SSDCluster
chrII	270946	273703	YBR017C	KAP104	-	SSD	SSD_in_WGDCluster
chrII	274426	275527	YBR018C	GAL7	-	singletons	Singletons_in_WGDCluster
chrII	276252	278352	YBR019C	GAL10	-	singletons	Singletons_in_WGDCluster
chrII	279020	280607	YBR020W	GAL1	+	WGD	WGD_in_SSDCluster
chrII	281442	283344	YBR021W	FUR4	+	SSD	SSD_in_WGDCluster
chrII	283737	284271	YBR022W	POA1	+	singletons	Singletons_in_WGDCluster
chrII	284427	287925	YBR023C	CHS3	-	singletons	Singletons_in_WGDCluster
chrII	289444	290350	YBR024W	SCO2	+	WGD	WGD_in_SSDCluster
chrII	290680	291865	YBR025C	OLA1	-	SSD	SSD_in_WGDCluster
chrII	292876	294019	YBR026C	ETR1	-	singletons	Singletons_in_WGDCluster
chrII	294023	294356	YBR027C	YBR027C	-	singletons	Singletons_in_ComplementCluster
chrII	294424	296002	YBR028C	YPK3	-	singletons	Singletons_in_WGDCluster
chrII	296368	297742	YBR029C	CDS1	-	singletons	Singletons_in_WGDCluster
chrII	298291	299950	YBR030W	RKM3	+	singletons	Singletons_in_WGDCluster
chrII	300165	301254	YBR031W	RPL4A	+	WGD	WGD_in_WGDCluster
chrII	301518	301821	YBR032W	YBR032W	+	singletons	Singletons_in_WGDCluster
chrII	301943	304703	YBR033W	EDS1	+	SSD	SSD_in_WGDCluster
chrII	304929	305976	YBR034C	HMT1	-	singletons	Singletons_in_WGDCluster
chrII	306268	306955	YBR035C	PDX3	-	singletons	Singletons_in_WGDCluster
chrII	307184	307345	snR161		-	singletons	Singletons_in_ComplementCluster
chrII	307586	308887	TLC1	TLC1	+	singletons	Singletons_in_ComplementCluster
chrII	309080	310313	YBR036C	CSG2	-	singletons	Singletons_in_WGDCluster
chrII	310563	311451	YBR037C	SCO1	-	WGD	WGD_in_SSDCluster
chrII	311896	314788	YBR038W	CHS2	+	SSD	SSD_in_WGDCluster
chrII	315574	316510	YBR039W	ATP3	+	singletons	Singletons_in_WGDCluster
chrII	316967	317864	YBR040W	FIG1	+	singletons	Singletons_in_WGDCluster
chrII	318265	320275	YBR041W	FAT1	+	singletons	Singletons_in_WGDCluster
chrII	320415	321609	YBR042C	CST26	-	WGD	WGD_in_SSDCluster
chrII	321875	323945	YBR043C	QDR3	-	SSD	SSD_in_SSDCluster
chrII	324336	326058	YBR044C	TCM62	-	singletons	Singletons_in_ComplementCluster
chrII	328368	330090	YBR045C	GIP1	-	singletons	Singletons_in_ComplementCluster
chrII	330504	331509	YBR046C	ZTA1	-	singletons	Singletons_in_ComplementCluster
chrII	331830	332358	YBR047W	FMP23	+	singletons	Singletons_in_ComplementCluster
chrII	332828	333810	YBR048W	RPS11B	+	singletons	Singletons_in_ComplementCluster
chrII	334383	336816	YBR049C	REB1	-	WGD	WGD_in_WGDCluster
chrII	337180	338197	YBR050C	REG2	-	WGD	WGD_in_WGDCluster
chrII	337985	338336	YBR051W	YBR051W	+	singletons	Singletons_in_ComplementCluster
chrII	338717	339350	YBR052C	RFS1	-	WGD	WGD_in_WGDCluster
chrII	339672	340749	YBR053C	YBR053C	-	singletons	Singletons_in_WGDCluster
chrII	343098	344133	YBR054W	YRO2	+	WGD	WGD_in_WGDCluster
chrII	344599	347299	YBR055C	PRP6	-	singletons	Singletons_in_ComplementCluster
chrII	347876	349382	YBR056W	YBR056W	+	singletons	Singletons_in_ComplementCluster
chrII	351252	351453	YBR056W-A	YBR056W-A	+	singletons	Singletons_in_ComplementCluster
chrII	351290	351449	YBR056C-B	YBR056C-B	-	singletons	Singletons_in_ComplementCluster
chrII	352190	353291	YBR057C	MUM2	-	singletons	Singletons_in_ComplementCluster
chrII	353669	356015	YBR058C	UBP14	-	singletons	Singletons_in_ComplementCluster
chrII	356321	356564	YBR058C-A	TSC3	-	singletons	Singletons_in_ComplementCluster
chrII	356858	360185	YBR059C	AKL1	-	singletons	Singletons_in_ComplementCluster
chrII	360649	362512	YBR060C	ORC2	-	singletons	Singletons_in_ComplementCluster
chrII	364784	365717	YBR061C	TRM7	-	SSD	SSD_in_SSDCluster
chrII	365973	366598	YBR062C	YBR062C	-	singletons	Singletons_in_ComplementCluster
chrII	366967	368182	YBR063C	YBR063C	-	singletons	Singletons_in_SSDCluster
chrII	367760	368189	YBR064W	YBR064W	+	singletons	Singletons_in_SSDCluster
chrII	368581	369676	YBR065C	ECM2	-	singletons	Singletons_in_SSDCluster
chrII	370034	370697	YBR066C	NRG2	-	WGD	WGD_in_SSDCluster
chrII	372099	372732	YBR067C	TIP1	-	SSD	SSD_in_WGDCluster
chrII	373857	375687	YBR068C	BAP2	-	WGD	WGD_in_SSDCluster
chrII	376570	378430	YBR069C	TAT1	-	singletons	Singletons_in_SSDCluster
chrII	379217	379931	YBR070C	ALG14	-	singletons	Singletons_in_SSDCluster
chrII	380407	381043	YBR071W	YBR071W	+	singletons	Singletons_in_SSDCluster
chrII	382026	382671	YBR072W	HSP26	+	SSD	SSD_in_SSDCluster
chrII	382854	383016	YBR072C-A	YBR072C-A	-	singletons	Singletons_in_ComplementCluster
