NoPair	geneNameA	chromA	startA	endA	strandA	distTelomerA	distCentromereA	distanceARSA	Nucleosome_Neigh_geneA	geneNameB	chromB	startB	endB	strandB	distTelomerB	distCentromereB	distanceARSB	Chrom_Dist	Type	nucCor_prom	nucCor_SEQ	Jaccard_tf	dist	nameA	nameB	Distance_a_b_corrected	ACS	Ranking	Nucleosome_Neigh_geneB	PairRank	PairACS	NumA	NeighbA_ACS	NeighbA_Rank	NumB	NeighbB_ACS	NeighbB_Rank
603	YAL053W	chrI	45899	48251	+	0.199381	0.669902	3717	-0.0544226405034782	YOR365C	chrXV	1023458	1025570	-	0.0602214	0.911169	41765	DIFF	WGD	0.410364677	0.2211629	0.2352941176	NA	FLC2	YOR365C	0.4968133015	0.4	6065	0.0911113648222772	6065	0.4	90	1.40444444444444	1174.03333333333	110	1.07818181818182	2638.37272727273
604	YAL056W	chrI	39259	41902	+	0.170537	0.711512	0	0.0072836137615437	YOR371C	chrXV	1031486	1034180	-	0.0523317	0.921683	49793	DIFF	WGD	0.116451778	0.1192412	0.15	NA	GPB2	GPB1	0.1184642836	1.4	1156	-0.0570578336005589	1156	1.4	90	1.37333333333333	1536.44444444444	108	1.09074074074074	2463.12037037037
1	YAL060W	chrI	35155	36304	+	0.15271	0.748201	3972	-0.0083001792763562	YAL061W	chrI	33448	34702	+	0.145295	0.7587	2265	SAME	SSD	0.1424926	0.3322596	0.2666666667	453	BDH1	BDH2	NA	2.7	43	-0.00921281808747733	43	2.7	72	1.22222222222222	2065.16666666667	72	1.125	2174.83333333333
605	YAL062W	chrI	31567	32941	+	0.137124	0.770242	384	0.0610701325173756	YOR375C	chrXV	1041675	1043040	-	0.0442129	0.935026	44087	DIFF	WGD	-0.15903367	0.1505196	0	NA	GDH3	GDH1	0.0265617246	2.1	154	-0.0661091660771839	154	2.1	72	1.06388888888889	2349.02777777778	87	1.06896551724138	2014.64367816092
2	YAL063C	chrI	24000	27969	-	0.104254	0.802827	2978	0.0646297013792241	YAR050W	chrI	203393	208007	+	0.0964389	0.654574	6872	SAME	SSD	-0.147442	0.5015568	0.28	175424	FLO9	FLO1	NA	2.9	1	0.0702496781912474	1	2.9	72	1.00277777777778	2279.26388888889	56	0.896428571428571	1959.10714285714
95	YAL067C	chrI	7235	9017	-	0.0314281	0.927036	0	NA	YGR065C	chrVII	618080	619862	-	0.431813	0.202464	35864	DIFF	SSD	0.09960007	-0.09026897	0.2608695652	NA	SEO1	VHT1	0.2747296416	1.4	458	-0.0126649432799118	458	1.4	0	NA	NA	90	1.01555555555556	2191.8
606	YAR002C-A	chrI	154066	154726	-	0.327886	0.0191302	5182	0.1712760545163	YGL002W	chrVII	494520	495171	+	0.453294	0.00150591	9359	DIFF	WGD	0.718978747	0.4839386	0.25	NA	ERP1	ERP6	NA	1.6	777	0.21105100401961	777	1.6	56	1.60357142857143	1065.10714285714	93	1.25161290322581	1875.40860215054
3	YAR028W	chrI	184885	185590	+	0.193816	0.416149	8484	0.128803150221426	YAR027W	chrI	183763	184471	+	0.198677	0.401695	7362	SAME	SSD	-0.1665429	-0.06488074	0	414	YAR028W	UIP3	NA	1.5	2	-0.0750372957471752	2	1.5	90	1.32	1081.67777777778	86	1.28488372093023	1134.58139534884
96	YAR033W	chrI	188100	188805	+	0.17985	0.457566	11699	0.0753612503179021	YGL051W	chrVII	403689	404394	+	0.370035	0.183775	14796	DIFF	SSD	0.3931785	0.4761937	0.0833333333	NA	MST28	MST27	NA	3.3	1	0.0402263924104865	1	3.3	90	1.14	1651.38888888889	110	1.33454545454545	1999.81818181818
97	YAR035W	chrI	190186	192250	+	0.164886	0.484438	13785	0.00393711953472755	YER024W	chrV	202190	204962	+	0.350496	0.115835	7420	DIFF	SSD	-0.42544	-0.09858618	0.0588235294	NA	YAT1	YAT2	NA	2.7	1	0.318605390654138	1	2.7	90	1.01333333333333	1746.55555555556	90	1.56888888888889	1197.07777777778
607	YBL005W	chrII	217472	220403	+	0.267435	0.0702189	18998	0.00378974158843874	YGL013C	chrVII	469096	472303	-	0.42999	0.0474221	12632	DIFF	WGD	-0.084678425	-0.1285396	0.2592592593	NA	PDR3	PDR1	0.1679629882	1.5	233	-0.025396839625562	233	1.5	42	1.57142857142857	1457.16666666667	90	1.27111111111111	2152.42222222222
102	YBL008W	chrII	209655	212178	+	0.257822	0.104587	11181	-0.0106890857084463	YML102W	chrXIII	68293	69700	+	0.0738759	0.73317	24517	DIFF	SSD	-0.1566084	-0.123876	0.1176470588	NA	HIR1	CAC2	NA	1.7	189	0.0155164511867855	189	1.7	56	1.28571428571429	1433.57142857143	77	1.15194805194805	2165.7012987013
608	YBL009W	chrII	207196	209227	+	0.254798	0.116917	8722	0.00197956575721343	YGL021W	chrVII	454789	457072	+	0.416875	0.0780041	27863	DIFF	WGD	0.699854212	0.3284449	0.1666666667	NA	ALK2	ALK1	0.1952710871	1.7	832	-0.0214763856483914	832	1.7	72	1.28055555555556	1539.875	110	1.49818181818182	1177.69090909091
564	YBL027W	chrII	168425	169379	+	0.207119	0.28342	712	0.0543754892169021	YBR084C-A	chrII	414179	415255	-	0.489343	0.304706	2523	SAME	WGD	-0.230283093	-0.1067481	0.1818181818	244800	RPL19B	RPL19A	NA	5.4	1	0.0167755733421397	1	5.4	100	1.258	1932.74	100	1.533	1216.62
565	YBL030C	chrII	163043	164000	-	0.200501	0.305896	6091	0.0435403889140439	YBR085W	chrII	415976	416900	+	0.48732	0.307837	878	SAME	WGD	0.007936508	0.1222265	0.1818181818	251976	PET9	AAC3	0.1847195327	2	159	0.113173343510503	159	2	100	1.247	1886.76	101	1.42574257425743	1526.64356435644
4	YBL032W	chrII	160186	161332	+	0.196988	0.317044	8759	0.0829813761257864	YBR233W	chrII	683422	684664	+	0.158039	0.773889	19627	SAME	SSD	0.2106305	0.1875	0.2592592593	522090	HEK2	PBP2	0.0774793629	1.9	477	0.370292340640144	477	1.9	100	1.088	2322.46	70	1.13428571428571	2354.78571428571
609	YBL039C	chrII	143991	145731	-	0.177072	0.382232	24360	0.0855459958426499	YJR103W	chrX	620742	622437	+	0.165344	0.594578	7472	DIFF	WGD	-0.204479453	-0.1321103	0.2333333333	NA	URA7	URA8	0.3541015937	0.9	3565	0.072136800189777	3565	0.9	72	1.38055555555556	1827.04166666667	110	1.22727272727273	2067.36363636364
103	YBL041W	chrII	141249	141975	+	0.1737	0.397927	28116	-0.00273443090195772	YER094C	chrV	348724	349342	-	0.394417	0.461626	4163	DIFF	SSD	-0.3076527	-0.1873172	0.2222222222	NA	PRE7	PUP3	0.1305080228	3	20	NA	20	3	72	1.31111111111111	1999.59722222222	100	1.125	2143.03
610	YBL043W	chrII	136690	137464	+	0.168094	0.416776	32627	0.0577942648713723	YJR115W	chrX	639931	640441	+	0.141202	0.656816	13925	DIFF	WGD	-0.285608163	-0.1351475	0.1666666667	NA	ECM13	YJR115W	NA	0.8	4961	0.065311959968644	4961	0.8	90	1.14888888888889	2412.55555555556	90	0.922222222222222	2872.25555555556
104	YBL047C	chrII	127897	132043	-	0.15728	0.439427	38048	0.0257019577981732	YIR006C	chrIX	365462	369905	-	0.159087	0.104859	2245	DIFF	SSD	-0.242937	-0.1809804	0.2307692308	NA	EDE1	PAN1	0.2418662232	2.3	18	0.339402975659188	18	2.3	110	1.18909090909091	2286.84545454545	101	1.26138613861386	1538.0297029703
105	YBL052C	chrII	119381	121877	-	0.146808	0.481905	48214	0.0261142937101184	YOR244W	chrXV	792531	793869	+	0.27254	0.608745	8968	DIFF	SSD	-0.06499234	-0.004157618	0.1818181818	NA	SAS3	ESA1	0.7218893009	1.3	2441	0.125324836391534	2441	1.3	110	1.16545454545455	2521.47272727273	110	1.41181818181818	1930.17272727273
611	YBL054W	chrII	117591	119169	+	0.144607	0.49322	50922	0.0214439681140878	YER088C	chrV	333171	335184	-	0.41896	0.424924	16369	DIFF	WGD	-0.060192927	-0.1106936	0.1363636364	NA	TOD6	DOT6	0.0999637627	1.1	2728	NA	2728	1.1	110	1.21636363636364	2300.49090909091	55	1.32727272727273	2633.27272727273
612	YBL056W	chrII	113764	115171	+	0.1399	0.509926	50341	0.0625769244158918	YER089C	chrV	335941	337336	-	0.415229	0.431461	16169	DIFF	WGD	-0.157552198	-0.08908708	0.2272727273	NA	PTC3	PTC2	0.1633641803	1.5	1050	NA	1050	1.5	107	1.11308411214953	2322.58878504673	49	1.36530612244898	2491.71428571429
613	YBL059W	chrII	110595	111246	+	0.136003	0.526326	47172	0.0735143813884501	YER093C-A	chrV	347907	348396	-	0.396057	0.459698	5109	DIFF	WGD	-0.176090181	-0.04166667	0.0454545455	NA	YBL059W	AIM11	NA	1.1	75	NA	75	1.1	107	1.12242990654206	2263.29906542056	81	1.10987654320988	2142.53086419753
614	YBL061C	chrII	105317	107408	-	0.129513	0.542363	41894	-0.0755501145550585	YER096W	chrV	351693	353232	+	0.387674	0.468632	273	DIFF	WGD	0.264705882	0.3236947	0.16	NA	SKT5	SHC1	0.3177592638	0.9	4586	NA	4586	0.9	107	0.996261682242991	2593.79439252336	110	1.34181818181818	1657.01818181818
106	YBL066C	chrII	98969	100617	-	0.121706	0.570739	35546	0.0606707794783313	YLR451W	chrXII	1036089	1038750	+	0.0365664	0.954563	11881	DIFF	SSD	-0.08027878	-0.1671224	0	NA	SEF1	LEU3	0.1854435976	1.1	3185	-0.0162258678140876	3185	1.1	90	1.03333333333333	2522.66666666667	110	1.10181818181818	2625.65454545455
615	YBL067C	chrII	93640	95884	-	0.115153	0.590516	30217	-0.0204198215399245	YER098W	chrV	355461	357726	+	0.379883	0.477524	1711	DIFF	WGD	0.455083256	0.4148027	0	NA	UBP13	UBP9	0.0485165294	1.3	1838	0.00731494305852227	1838	1.3	90	0.946666666666667	2566.67777777778	110	1.30545454545455	2013.27272727273
616	YBL068W	chrII	92411	93395	+	0.113642	0.600916	28988	0.0370014673199089	YER099C	chrV	358100	359057	-	0.377576	0.483752	4350	DIFF	WGD	0.585231723	0.5116471	0.3157894737	NA	PRS4	PRS2	0.2983947568	2.2	633	0.0330657598617178	633	2.2	84	1.01190476190476	2459.13095238095	110	1.4	1647.61818181818
617	YBL069W	chrII	90738	92028	+	0.111584	0.606628	27315	0.031379107822685	YER101C	chrV	360497	361790	-	0.372839	0.489408	6747	DIFF	WGD	0.21821789	0.374351	0	NA	AST1	AST2	0.2435259658	1.4	1252	0.0713193553240338	1252	1.4	68	1.13235294117647	2280.08823529412	110	1.32909090909091	1829.88181818182
618	YBL072C	chrII	88520	89123	-	0.108857	0.618766	25097	0.0404976358416621	YER102W	chrV	363095	363698	+	0.369531	0.495539	9345	DIFF	WGD	-0.099517288	-0.0299036	0.2727272727	NA	RPS8A	RPS8B	0	6.3	1	-0.0981033895971785	1	6.3	66	0.933333333333333	2596.75757575758	110	1.29818181818182	1951.42727272727
619	YBL075C	chrII	84496	86446	-	0.103908	0.629952	21073	-0.0726370920671101	YER103W	chrV	364584	366513	+	0.364651	0.499053	10834	DIFF	WGD	0.249769181	0.04510067	0.3181818182	NA	SSA3	SSA4	0.1169456858	3.6	1	0.0269375425068543	1	3.6	72	1.11666666666667	2600.31944444444	90	1.43111111111111	1608.38888888889
620	YBL079W	chrII	75255	79764	+	0.0925443	0.657872	11832	0.147998741255651	YER105C	chrV	367833	372009	-	0.355124	0.50672	14083	DIFF	WGD	0.438805976	0.4856619	0.1363636364	NA	NUP170	NUP157	0.4403133007	2.1	42	0.0555624263067509	42	2.1	110	1.12181818181818	2482.66363636364	72	1.40555555555556	1780.52777777778
621	YBL085W	chrII	63872	66815	+	0.0785461	0.711979	449	-0.0871722473935824	YER114C	chrV	390585	393708	-	0.317509	0.56041	13040	DIFF	WGD	-0.089087081	-0.06465281	0.1428571429	NA	BOI1	BOI2	0.0125635688	1.5	167	-0.0210220022075744	167	1.5	110	1.11636363636364	2198.1	90	1.55333333333333	1414.13333333333
622	YBL087C	chrII	59817	60735	-	0.0735595	0.737384	2455	0.100853396073325	YER117W	chrV	396764	397649	+	0.310677	0.574991	9099	DIFF	WGD	0.387518303	0.02519763	0.2413793103	NA	RPL23A	RPL23B	0	5.3	1	-0.00382600733394696	1	5.3	110	1.15272727272727	2161.38181818182	110	1.26363636363636	2193.3
5	YBL088C	chrII	51015	59379	-	0.0627353	0.74305	3811	0.00714354297926659	YBR136W	chrII	505661	512768	+	0.369427	0.464122	18714	SAME	SSD	-0.1454786	-0.1363636	0.2307692308	446282	TEL1	MEC1	0.4648374833	1.9	5	-0.00324767748482782	5	1.9	110	1.18	2175.60909090909	90	0.984444444444444	2858.86666666667
623	YBL089W	chrII	49570	50950	+	0.0609584	0.77827	12240	0.0933719729607087	YER119C	chrV	399491	400838	-	0.305149	0.581426	5910	DIFF	WGD	-0.114707867	-0.09766158	0	NA	AVT5	AVT6	0.2215068696	1.5	274	0.0462795661665772	274	1.5	110	1.30909090909091	1778.66363636364	110	1.23818181818182	2239.83636363636
624	YBL091C-A	chrII	46561	47177	-	0.0572581	0.794036	16013	-0.0231982434380068	YER120W	chrV	401130	401865	+	0.303369	0.585294	4883	DIFF	WGD	0.285714286	0.08314904	0	NA	SCS22	SCS2	NA	1.1	1646	0.0305701633457299	1646	1.1	110	1.12	2409.70909090909	110	1.20727272727273	2268.10909090909
625	YBL101C	chrII	24945	28299	-	0.0306759	0.872917	640	0.03984695535076	YPR030W	chrXVI	627876	631242	+	0.334176	0.181089	2629	DIFF	WGD	-0.126322788	-0.09329556	0.0769230769	NA	ECM21	CSR2	0.4330096138	2.3	136	0.00460685843537322	136	2.3	56	1.46428571428571	1222.53571428571	110	1.33272727272727	2055.85454545455
626	YBL106C	chrII	10846	13879	-	0.0133378	0.93317	15060	-0.0489931925929766	YPR032W	chrXVI	634119	637221	+	0.32787	0.197057	1	DIFF	WGD	-0.089087081	-0.1591061	0.3684210526	NA	SRO77	SRO7	0.0565853489	1.2	2169	0.0615656815784287	2169	1.2	94	0.927659574468085	2268.65957446808	98	1.24081632653061	1997.91836734694
627	YBR001C	chrII	238942	241285	-	0.293837	0	40468	-0.0229496025926802	YDR001C	chrIV	450217	452473	-	0.293891	0	9879	DIFF	WGD	-0.089087081	-0.06419407	0.2592592593	NA	NTH2	NTH1	0.0721745175	2.9	7	0.0470297708567767	7	2.9	90	1.55333333333333	1778.25555555556	90	1.62666666666667	1189.66666666667
628	YBR005W	chrII	245907	246549	+	0.302402	0.011475	47433	0.036643426248475	YDR003W	chrIV	454119	454752	+	0.296438	0.00305153	7600	DIFF	WGD	NA	-0.1924501	0.1481481481	NA	RCR1	RCR2	0.2547554166	2.2	41	-0.0600899054512847	41	2.2	110	1.53090909090909	1538.22727272727	90	1.56444444444444	1403.2
108	YBR009C	chrII	255370	255682	-	0.314039	0.0279653	56896	0.0046384158323306	YNL030W	chrXIV	576728	577040	+	0.264293	0.0805223	8204	DIFF	SSD	-0.1623007	0.01055501	0.2592592593	NA	HHF1	HHF2	NA	5.2	1	-0.0634862050094633	1	5.2	72	1.35833333333333	1908.97222222222	110	1.00909090909091	2649.53636363636
629	YBR014C	chrII	266724	267336	-	0.328002	0.0477507	58803	0.119667174023503	YDL010W	chrIV	432327	433023	+	0.282213	0.034801	1759	DIFF	WGD	-0.226334577	-0.09578347	0.2608695652	NA	GRX7	GRX6	0.1119184937	1.8	252	0.102372415410975	252	1.8	72	1.05277777777778	2532.66666666667	90	1.22	1985.78888888889
109	YBR017C	chrII	270946	273703	-	0.333194	0.055108	52436	-0.00739759457047525	YLR347C	chrXII	823826	826412	-	0.233508	0.725394	29558	DIFF	SSD	-0.0654921	-0.01281577	0.125	NA	KAP104	KAP95	0.3355745889	2	118	0.0312844458002414	118	2	90	1.19777777777778	2347.72222222222	72	1.07777777777778	2436.69444444444
630	YBR020W	chrII	279020	280607	+	0.343123	0.0691778	45532	-0.027623898335266	YDR009W	chrIV	463431	464994	+	0.302517	0.011665	242	DIFF	WGD	-0.052753496	-0.08882046	0.2083333333	NA	GAL1	GAL3	0.0207380112	2	4	-0.0780164630053349	4	2	110	1.34909090909091	1992.61818181818	110	1.10363636363636	2289.01818181818
110	YBR021W	chrII	281442	283344	+	0.346101	0.0733983	42795	0.0346911579747985	YIR028W	chrIX	408464	410372	+	0.0670925	0.622083	1446	DIFF	SSD	-0.04761905	0.1849383	0.1904761905	NA	FUR4	DAL4	NA	1.1	2292	-0.00925175235838267	2292	1.1	110	1.33818181818182	2020.32727272727	80	1.68375	989.125
566	YBR024W	chrII	289444	290350	+	0.355942	0.0873426	35789	0.0400315061542202	YBR037C	chrII	310563	311451	-	0.381913	0.124145	14688	SAME	WGD	0.463713017	0.4343037	0.25	20213	SCO2	SCO1	0.4138844643	2.1	295	0.109518978618638	295	2.1	110	1.21636363636364	2179	72	1.48333333333333	1586.43055555556
111	YBR025C	chrII	290680	291865	-	0.357462	0.0894965	34274	0.0616283118193232	YHL014C	chrVIII	76093	77311	-	0.135242	0.255625	38863	DIFF	SSD	0.6216824	0.5335784	0.0555555556	NA	OLA1	YLF2	0.3189810981	1.1	3044	0.191496467711118	3044	1.1	110	1.22909090909091	2163.13636363636	82	0.94390243902439	2764.5487804878
631	YBR031W	chrII	300165	301254	+	0.369126	0.106025	24885	-0.0374403254474378	YDR012W	chrIV	471850	472939	+	0.308012	0.0194524	8661	DIFF	WGD	-0.075377836	-0.0927367	0.1578947368	NA	RPL4A	RPL4B	0.2176134341	5.3	1	0.112900151314006	1	5.3	90	1.10666666666667	2619.86666666667	90	0.96	2570.74444444444
632	YBR042C	chrII	320415	321609	-	0.394028	0.141313	4530	0.0526497229885832	YDR018C	chrIV	482667	483858	-	0.315073	0.029458	0	DIFF	WGD	NA	-0.1038266	0.1875	NA	CST26	YDR018C	0.2207430632	0.5	5849	0.0209911907249505	5849	0.5	110	1.47454545454545	1531.42727272727	90	1.05111111111111	2657.23333333333
633	YBR048W	chrII	332828	333810	+	0.409293	0.162944	6455	-0.0238268587642351	YDR025W	chrIV	491512	492322	+	0.320847	0.0376395	7419	DIFF	WGD	-0.21821789	-0.1552814	0	NA	RPS11B	RPS11A	0	5.2	1	0.0482810678622566	1	5.2	110	1.35454545454545	1934.14545454545	110	1.14727272727273	2416.36363636364
634	YBR049C	chrII	334383	336816	-	0.411205	0.165653	8010	0.0644910984163014	YDR026C	chrIV	492553	494266	-	0.321527	0.0386024	8460	DIFF	WGD	-0.350438322	-0.1833397	0.25	NA	REB1	NSI1	0.3481026615	0.8	5023	0.10927439932385	5023	0.8	110	1.36363636363636	1886.7	110	1.18727272727273	2466.67272727273
635	YBR052C	chrII	338717	339350	-	0.416535	0.173206	12344	0.00534389551517666	YDR032C	chrIV	504096	504693	-	0.329062	0.0492795	648	DIFF	WGD	-0.075420889	0.03600682	0.2142857143	NA	RFS1	PST2	0.8826365983	3	34	0.0397473531154063	34	3	103	1.10194174757282	2404.45631067961	65	1.18461538461538	2157.66153846154
636	YBR054W	chrII	343098	344133	+	0.421922	0.18084	16725	-0.0442653827101015	YDR033W	chrIV	508144	509107	+	0.331704	0.0530239	2563	DIFF	WGD	-0.074501116	-0.09329556	0.2777777778	NA	YRO2	MRH1	0.4352904985	3.3	2	-0.0170572748788029	2	3.3	84	1.09880952380952	2361.14285714286	66	1.03787878787879	2396.90909090909
637	YBR066C	chrII	370034	370697	-	0.455047	0.227779	8521	-0.0223151707340765	YDR043C	chrIV	542672	543368	-	0.354243	0.0849618	11861	DIFF	WGD	-0.098294637	0.01723626	0.2	NA	NRG2	NRG1	0.1715828547	2.1	3	-0.0472241596292475	3	2.1	103	1.05242718446602	2467.94174757282	90	1.16	2544.66666666667
112	YBR067C	chrII	372099	372732	-	0.457586	0.231377	6486	-0.00220200743408268	YIL011W	chrIX	333723	334533	+	0.239499	0.0563344	7321	DIFF	SSD	-0.2777155	-0.1372527	0.2	NA	TIP1	TIR3	NA	1.8	NA	-0.0130857621318046	NA	NA	104	1.07884615384615	2259.73076923077	110	1.29090909090909	1693.75454545455
638	YBR068C	chrII	373857	375687	-	0.459748	0.234441	3531	-0.0823468501500668	YDR046C	chrIV	548760	550575	-	0.358217	0.0905931	4654	DIFF	WGD	-0.239158382	-0.2022887	0.2173913043	NA	BAP2	BAP3	0.0451865754	2.3	6	-0.0269651626492742	6	2.3	85	1.11647058823529	2213.77647058824	90	1.12666666666667	2335.74444444444
113	YBR072W	chrII	382026	382671	+	0.469794	0.248676	2118	-0.0263057537619201	YDR171W	chrIV	806618	807746	+	0.472723	0.329108	344	DIFF	SSD	-0.04222003	0.1326087	0.25	NA	HSP26	HSP42	NA	3.5	15	-0.00864147348586195	15	3.5	67	1.35671641791045	1569.32835820896	72	1.61944444444444	1139.73611111111
639	YBR078W	chrII	393117	394854	+	0.483433	0.268003	13016	-0.0250430284956713	YDR055W	chrIV	563525	564860	+	0.367856	0.10425	2635	DIFF	WGD	0.671052632	0.4345188	0.2307692308	NA	ECM33	PST1	0.1559920435	1.7	819	-0.0309987935700461	819	1.7	90	1.46	1535.5	110	1.19454545454545	2394.5
640	YBR082C	chrII	406621	407163	-	0.499294	0.291535	707	0.0953848110280901	YDR059C	chrIV	569232	569769	-	0.371581	0.109529	1492	DIFF	WGD	0.521168439	0.420084	0.32	NA	UBC4	UBC5	NA	1.5	1100	0.180638758323814	1100	1.5	100	1.481	1503.13	110	1.20181818181818	2221.86363636364
641	YBR089C-A	chrII	426183	426483	-	0.475535	0.325624	8111	-0.000134977158905365	YPR052C	chrXVI	665689	665971	-	0.297545	0.277801	18415	DIFF	WGD	-0.126322788	-0.1298227	0	NA	NHP6B	NHP6A	NA	2	15	-0.00832714577139282	15	2	102	1.30392156862745	1868.00980392157	108	1.31018518518519	2002.36111111111
6	YBR093C	chrII	429541	430945	-	0.470048	0.331476	11469	-0.00381911262958347	YBR092C	chrII	427691	429095	-	0.472323	0.328252	9619	SAME	SSD	-0.2188871	0.05647825	0.2258064516	446	PHO5	PHO3	NA	4	2	0.0469931852020926	2	4	110	1.15272727272727	2388.97272727273	110	1.23454545454545	2162.18181818182
642	YBR104W	chrII	449660	450650	+	0.445816	0.366535	31588	0.00560344254103713	YPR058W	chrXVI	673747	674671	+	0.288368	0.29841	9715	DIFF	WGD	-0.156608424	0.01941633	0.1428571429	NA	YMC2	YMC1	0.3036017491	2.6	116	0.213754647890958	116	2.6	90	1.26222222222222	1991.52222222222	110	1.24181818181818	2032.68181818182
114	YBR109C	chrII	457912	458356	-	0.43634	0.380915	28345	0.0796770637776462	YOR257W	chrXV	811007	811493	+	0.25639	0.632942	27444	DIFF	SSD	-0.2533202	-0.140028	0.1428571429	NA	CMD1	CDC31	NA	1.4	1396	0.0972129813141543	1396	1.4	98	1.13469387755102	2184.24489795918	110	1.50545454545455	1680.27272727273
