chrom	start	end	Gene	TFNo	TFs	geneType	geneClusterType
chrI	124393	124793	YAL016C-B	21	RLR1,SPT23,FKH1,GLN3,REB1,FKH1,MOT3,INO4,PHO4,ABF1,SPT2,DAL80,YDR026c,REB1,SOK2,STB1,SWI6,DIG1,MOT3,ROX1,YOX1	singletons	Singletons_in_ComplementCluster
chrI	124579	124979	YAL016W	20	FKH1,MOT3,INO4,PHO4,ABF1,SPT2,DAL80,YDR026c,REB1,SOK2,STB1,SWI6,DIG1,MOT3,ROX1,YOX1,PHO4,DAL80,YHP1,HAP4	singletons	Singletons_in_WGDCluster
chrI	128003	128403	YAL015C	13	DIG1,GCN4,ADR1,YAP7,CAD1,YAP3,YAP5,YAP6,ARR1,AZF1,DIG1,HSF1,SPT23	WGD	WGD_in_WGDCluster
chrI	128920	129320	YAL014C	15	SUM1,SPT2,SPT23,SWI5,FKH1,NDD1,MCM1,TYE7,REB1,AFT2,PHD1,SWI5,ABF1,UME1,ADR1	singletons	Singletons_in_WGDCluster
chrI	128970	129370	YAL013W	15	SUM1,SPT2,SPT23,SWI5,FKH1,NDD1,MCM1,TYE7,REB1,AFT2,PHD1,SWI5,ABF1,UME1,ADR1	singletons	Singletons_in_WGDCluster
chrI	130501	130901	YAL012W	28	RCS1,AFT2,NRG1,ADR1,RCS1,AFT2,YAP7,YAP3,YAP5,ARR1,YAP6,TYE7,CBF1,PHO4,SWI5,SUM1,MET4,MET31,MET32,UME1,HSF1,RLR1,MOT3,SKN7,SPT23,RCS1,AFT2,SPT23	SSD	SSD_in_WGDCluster
chrI	131901	132301	YAL011W	11	PHO4,SOK2,MOT3,DAL80,HAP4,ABF1,SPT23,SOK2,MOT3,INO2,SOK2	singletons	Singletons_in_WGDCluster
chrI	135555	135955	YAL009W	13	FKH1,DIG1,STE12,BAS1,ROX1,ASH1,SPT23,YAP7,STB1,SPT23,SPT23,MOT3,ADR1	singletons	Singletons_in_WGDCluster
chrI	135567	135967	YAL010C	13	FKH1,DIG1,STE12,BAS1,ROX1,ASH1,SPT23,YAP7,STB1,SPT23,SPT23,MOT3,ADR1	singletons	Singletons_in_WGDCluster
chrI	136615	137015	YAL008W	11	ADR1,GCR1,FKH2,MOT3,SUM1,ADR1,HAP2,HAP3,HAP5,FKH1,MOT3	singletons	Singletons_in_WGDCluster
chrI	138247	138647	YAL007C	30	ADR1,MET31,MET32,FKH1,FKH2,DAL80,GCN4,RTG3,TYE7,SOK2,HAP2,HAP3,HAP5,SPT23,DIG1,SPT23,SWI6,SWI4,STB1,DIG1,STE12,TEC1,STB1,AFT2,RCS1,SOK2,DAL82,TEC1,TEC1,FKH1	WGD	WGD_in_SSDCluster
chrI	141333	141733	YAL005C	39	DAL80,FKH1,SPT23,SIG1,FKH1,DIG1,STE12,FKH2,UME1,GLN3,DAL82,GZF3,GAT1,DAL80,YAP1,DIG1,STE12,CIN5,HAP5,HAP3,HAP2,SPT23,TEC1,XBP1,RCS1,MSN2,AFT2,ADR1,MSN4,CIN5,STB4,STE12,GLN3,AFT2,ADR1,MSN4,RPN4,UME6,HSF1	SSD	SSD_in_SSDCluster
chrI	141875	142275	YAL003W	15	SPT23,RGT1,HSF1,SOK2,PHD1,INO2,SPT23,DIG1,DAL80,RLM1,AZF1,DAL80,INO2,MOT3,SWI5	singletons	Singletons_in_ComplementCluster
chrI	142068	142468	snR18	6	RLM1,AZF1,DAL80,INO2,MOT3,SWI5	singletons	Singletons_in_ComplementCluster
chrI	143408	143808	YAL002W	33	ADR1,DAL80,DIG1,DAL82,GLN3,RLR1,YOX1,STB1,INO4,MOT3,SOK2,PHD1,DIG1,SFP1,HAP2,HAP5,HAP3,CAD1,YAP7,SKN7,YAP7,GCN4,TEC1,MAC1,SKN7,STB4,HSF1,TEC1,HAP4,HAP2,HAP5,HAP3,YHP1	singletons	Singletons_in_ComplementCluster
chrI	151068	151468	YAL001C	17	FKH1,SWI6,SWI4,STB1,MBP1,SNT2,SKN7,SPT23,SPT23,SOK2,ACE2,MOT3,YAP7,ASH1,CIN5,INO4,TYE7	singletons	Singletons_in_ComplementCluster
chrI	151958	152358	YAR002W	24	SPT23,DIG1,YHP1,CAD1,YAP7,YAP3,YAP5,YAP6,ARR1,DIG1,STE12,THI2,MOT3,INO4,RLR1,DIG1,STE12,RGT1,GCN4,STE12,ABF1,CIN5,AFT2,SPT23	singletons	Singletons_in_ComplementCluster
chrI	154626	155026	YAR002C-A	19	TEC1,HAP2,HAP3,HAP5,FKH1,FKH2,MOT3,SWI5,DIG1,SWI6,MBP1,SPT23,HAP2,HAP3,HAP5,SPT23,MSN4,ADR1,ACE2	WGD	WGD_in_WGDCluster
chrI	154706	155106	YAR003W	19	TEC1,HAP2,HAP3,HAP5,FKH1,FKH2,MOT3,SWI5,DIG1,SWI6,MBP1,SPT23,HAP2,HAP3,HAP5,SPT23,MSN4,ADR1,ACE2	singletons	Singletons_in_ComplementCluster
chrI	158521	158921	YAR007C	32	SWI5,ACE2,STB1,SWI6,BAS1,DIG1,STE12,DAL80,DAL82,GLN3,CBF1,SWI6,MBP1,SWI6,MBP1,CBF1,SOK2,GAT1,DAL80,GZF3,DAL82,GLN3,SPT23,RCS1,AFT2,HAP4,NDD1,HAP3,HAP5,HAP2,YHP1,SWI5	singletons	Singletons_in_ComplementCluster
chrI	158666	159066	YAR008W	28	BAS1,DIG1,STE12,DAL80,DAL82,GLN3,CBF1,SWI6,MBP1,SWI6,MBP1,CBF1,SOK2,GAT1,DAL80,GZF3,DAL82,GLN3,SPT23,RCS1,AFT2,HAP4,NDD1,HAP3,HAP5,HAP2,YHP1,SWI5	singletons	Singletons_in_ComplementCluster
chrI	168766	169166	YAR014C	27	TEC1,GLN3,DAL82,DAL80,CIN5,ADR1,TEC1,ACE2,ADR1,MSN4,FKH1,FKH2,SPT2,INO4,STE12,DIG1,DIG1,TEC1,RTG3,AFT2,REB1,GCN4,BAS1,ASH1,ASH1,BAS1,GCN4	singletons	Singletons_in_ComplementCluster
chrI	169069	169469	YAR015W	29	INO4,STE12,DIG1,DIG1,TEC1,RTG3,AFT2,REB1,GCN4,BAS1,ASH1,ASH1,BAS1,GCN4,TEC1,YAP7,XBP1,TEC1,DAL82,REB1,DAL82,SPT23,DAL80,ROX1,OPI1,FKH1,YAP1,CAD1,YAP7	singletons	Singletons_in_ComplementCluster
chrI	171598	171998	YAR018C	18	DIG1,GCN4,YHP1,DAL80,YAP7,FKH1,FKH2,NDD1,MCM1,SIG1,DIG1,SPT23,THI2,RGT1,TEC1,SOK2,DIG1,STE12	singletons	Singletons_in_ComplementCluster
chrI	175033	175433	YAR019C	12	DAL82,ADR1,MOT3,SUM1,HAP4,HAP2,HAP5,HAP3,MOT3,DIG1,STB1,SWI6	singletons	Singletons_in_ComplementCluster
chrI	176921	177321	YAR020C	21	FKH1,YAP7,UME1,STE12,DIG1,GCN4,STE12,DIG1,RCS1,INO2,PHO4,INO2,MOT3,GCR1,TEC1,YAP7,GCR1,TEC1,INO4,STE12,TEC1	singletons	Singletons_in_ComplementCluster
chrI	179718	180118	YAR023C	19	TEC1,TYE7,SPT23,NDD1,MCM1,TEC1,RGT1,TEC1,FKH1,ASH1,GLN3,DAL82,GZF3,GAT1,DAL80,HAP2,HAP3,HAP5,RLR1	singletons	Singletons_in_ComplementCluster
chrI	184585	184985	YAR028W	21	STE12,DIG1,FKH1,INO2,PHO4,ACE2,SWI5,SKN7,OPI1,PHD1,STE12,DIG1,ROX1,DIG1,FKH1,STE12,DIG1,DAL80,DAL82,GLN3,MOT3	SSD	SSD_in_SSDCluster
chrI	186014	186414	YAR029W	22	HAP3,HAP2,HAP5,SPT23,ADR1,AFT2,DAL80,INO2,SPT23,YAP1,CAD1,ASH1,YAP7,GCN4,DIG1,SPT23,RLM1,AFT2,MSN4,TEC1,STE12,DIG1	singletons	Singletons_in_SSDCluster
chrI	187800	188200	YAR033W	21	SUM1,MOT3,DAL80,RGT1,RLR1,SPT23,DIG1,FKH1,NRG1,AFT2,SOK2,YHP1,DIG1,STE12,SOK2,SUM1,DIG1,STE12,FKH1,MOT3,MOT3	SSD	SSD_in_SSDCluster
chrI	189886	190286	YAR035W	33	MSN4,UME1,ADR1,NDD1,MCM1,INO2,UME6,SWI5,SWI5,SWI5,GCN4,BAS1,HAP4,SUT1,SKN7,GAL4,TEC1,SOK2,PHD1,GAL4,SUT1,PHD1,STE12,DIG1,MBP1,AFT2,RCS1,AFT2,RAP1,SKN7,AFT2,ADR1,MSN2	SSD	SSD_in_SSDCluster
chrI	192311	192711	YAR035C-A	10	PHO4,PHD1,SOK2,AZF1,AZF1,DAL80,PDR1,AFT2,ADR1,RAP1	singletons	Singletons_in_ComplementCluster
chrI	192312	192712	YAR042W	10	PHO4,PHD1,SOK2,AZF1,AZF1,DAL80,PDR1,AFT2,ADR1,RAP1	WGD	WGD_in_WGDCluster
chrI	201680	202080	YAR047C	19	SIG1,CIN5,RTG3,GLN3,DAL82,GZF3,GAT1,DAL80,TEC1,DIG1,HAP2,HAP3,HAP5,MOT3,HAP5,HAP2,HAP3,BAS1,GLN3	singletons	Singletons_in_ComplementCluster
chrI	203093	203493	YAR050W	20	SWI5,DIG1,GCN4,BAS1,AFT2,DAL80,DAL80,SOK2,PHD1,NRG1,MOT3,PDR1,MOT3,RLR1,BAS1,CIN5,RGT1,THI2,FKH2,FKH1	SSD	SSD_in_SSDCluster
chrI	227432	227832	YAR073W	22	ADR1,BAS1,AFT2,NRG1,SUT1,UME6,SPT23,MOT3,SWI5,RGT1,YOX1,HSF1,MOT3,GLN3,DAL82,GZF3,GAT1,DAL80,CIN5,HAP3,HAP2,HAP5	singletons	Singletons_in_ComplementCluster
chrII	7633	8033	YBL108C-A	29	SWI5,SPT23,DIG1,STE12,AFT2,UME6,STE12,HAP3,HAP2,HAP5,PHO4,AFT2,HAP3,HAP2,HAP5,ASH1,BAS1,GCN4,SOK2,SOK2,SOK2,ACE2,SWI5,PHD1,SOK2,FKH1,SWI5,CIN5,SPT23	singletons	Singletons_in_ComplementCluster
chrII	7876	8276	YBL108W	26	ASH1,BAS1,GCN4,SOK2,SOK2,SOK2,ACE2,SWI5,PHD1,SOK2,FKH1,SWI5,CIN5,SPT23,MOT3,DIG1,STE12,REB1,ADR1,INO2,AFT2,GLN3,DAL82,DIG1,TEC1,DAL80	singletons	Singletons_in_ComplementCluster
chrII	8967	9367	YBL107W-A	10	TEC1,TEC1,DAL80,DIG1,STE12,DIG1,AZF1,YAP7,HAP1,SPT23	singletons	Singletons_in_ComplementCluster
chrII	10254	10654	YBL107C	4	DIG1,YAP1,RGT1,SUM1	singletons	Singletons_in_ComplementCluster
chrII	13779	14179	YBL106C	20	YAP7,DIG1,STE12,YAP7,FKH2,FKH1,ROX1,DIG1,INO4,INO2,MOT3,SOK2,SPT23,STE12,DIG1,CIN5,DIG1,STE12,ADR1,RGT1	WGD	WGD_in_WGDCluster
chrII	17596	17996	YBL105C	16	RCS1,AFT2,UME1,PHD1,SOK2,DAL80,CIN5,SPT23,MSN4,CIN5,RPN4,SOK2,SPT2,TEC1,SWI5,SPT23	singletons	Singletons_in_ComplementCluster
chrII	21193	21593	YBL104C	29	GCN4,RTG3,SPT23,DIG1,DAL80,DAL80,HAP2,HAP3,HAP5,GCN4,RTG3,FKH1,FKH2,SOK2,ABF1,SOK2,DAL80,HAP2,HAP3,HAP5,SPT23,REB1,DIG1,STE12,TEC1,SUM1,STB1,SWI4,SWI6	singletons	Singletons_in_ComplementCluster
chrII	23435	23835	YBL103C	22	YAP1,YAP7,SOK2,GLN3,DAL82,DAL80,CIN5,SUM1,DIG1,SOK2,PHD1,SOK2,AFT2,SOK2,SOK2,HAP3,HAP5,HAP2,SKN7,SPT23,GLN3,DAL82	singletons	Singletons_in_ComplementCluster
chrII	23797	24197	YBL102W	25	SPT23,GLN3,DAL82,GCN4,BAS1,PHD1,SWI6,SOK2,RTG3,REB1,SKN7,ADR1,HAP2,HAP3,HAP5,YOX1,HSF1,HSF1,TEC1,TEC1,YHP1,MOT3,SOK2,ACE2,SWI5	singletons	Singletons_in_ComplementCluster
chrII	28126	28526	YBL100W-C	13	HAP2,HAP3,HAP5,ADR1,GCN4,BAS1,PHO4,GLN3,DAL82,GZF3,GAT1,DAL80,DAL82	singletons	Singletons_in_ComplementCluster
chrII	28199	28599	YBL101C	17	HAP2,HAP3,HAP5,ADR1,GCN4,BAS1,PHO4,GLN3,DAL82,GZF3,GAT1,DAL80,DAL82,HAP3,HAP2,HAP5,BAS1	WGD	WGD_in_WGDCluster
chrII	36749	37149	YBL099W	17	DIG1,HAP5,HAP2,HAP3,SKO1,ADR1,SPT23,SPT23,HSF1,NDD1,MCM1,MOT3,SKO1,HSF1,STB1,SWI4,MBP1	singletons	Singletons_in_ComplementCluster
