Gene	gene_up	gene_down	length	meanSpacer	logLength	logSpacer	geneType	geneClusterType
YAL024C	400	420	4307	410	3.6341748717626	2.61278385671974	singletons	Singletons_in_ComplementCluster
YAL023C	326	400	2279	363	3.35774432518038	2.55990662503611	WGD	WGD_in_WGDCluster
YAL022C	416	326	1553	371	3.19117145572856	2.56937390961505	singletons	Singletons_in_WGDCluster
YAL021C	255	416	2513	335.5	3.40019248859258	2.52569252450501	SSD	SSD_in_WGDCluster
YAL020C	304	255	1001	279.5	3.00043407747932	2.44638181222244	singletons	Singletons_in_WGDCluster
YAL019W-A	891	100	569	495.5	2.75511226639507	2.69504365882129	singletons	Singletons_in_WGDCluster
YAL019W	100	250	3395	175	3.53083977861652	2.24303804868629	singletons	Singletons_in_WGDCluster
YAL018C	684	250	977	467	2.98989456371877	2.66931688056611	WGD	WGD_in_WGDCluster
YAL017W	684	12	4070	348	3.60959440922522	2.54157924394658	WGD	WGD_in_WGDCluster
YAL016C-B	263	12	185	137.5	2.26717172840301	2.13830269816628	singletons	Singletons_in_WGDCluster
YAL016C-A	1834	263	314	1048.5	2.49692964807321	3.02056843480136	singletons	Singletons_in_WGDCluster
YAL016W	387	117	1907	252	3.28035069304601	2.40140054078154	singletons	Singletons_in_WGDCluster
YAL015C	150	117	1199	133.5	3.07881918309885	2.12548126570059	WGD	WGD_in_WGDCluster
YAL014C	251	150	767	200.5	2.88479536394898	2.3021143769562	singletons	Singletons_in_ComplementCluster
YAL013W	251	312	1217	281.5	3.08529057823006	2.44947839918736	singletons	Singletons_in_ComplementCluster
YAL012W	312	216	1184	264	3.0733517023869	2.42160392686983	SSD	SSD_in_SSDCluster
YAL011W	216	108	1877	162	3.27346427262135	2.20951501454263	singletons	Singletons_in_ComplementCluster
YAL010C	189	108	1481	148.5	3.17055505852121	2.17172645365323	singletons	Singletons_in_ComplementCluster
YAL009W	189	281	779	235	2.89153745767256	2.37106786227174	singletons	Singletons_in_ComplementCluster
YAL008W	281	188	596	234.5	2.77524625974024	2.3701428470511	singletons	Singletons_in_ComplementCluster
YAL007C	1158	188	647	673	2.8109042806687	2.82801506422398	WGD	WGD_in_WGDCluster
YAL005C	743	1158	1928	950.5	3.28510702956681	2.97795212120146	SSD	SSD_in_SSDCluster
YAL004W	2415	767	647	1591	2.8109042806687	3.20167017964658	SSD	SSD_in_SSDCluster
YAL003W	743	547	986	645	2.99387691494121	2.80955971463527	singletons	Singletons_in_ComplementCluster
YAL002W	547	63	3824	305	3.58251788360406	2.48429983934679	singletons	Singletons_in_ComplementCluster
YAL001C	1091	63	3572	577	3.55291145021651	2.76117581315573	singletons	Singletons_in_ComplementCluster
YAR002W	1091	189	1619	640	3.20924684875337	2.80617997398389	singletons	Singletons_in_ComplementCluster
YAR002C-A	281	189	659	235	2.81888541459401	2.37106786227174	WGD	WGD_in_WGDCluster
YAR003W	281	469	1280	375	3.10720996964787	2.57403126772772	singletons	Singletons_in_ComplementCluster
YAR007C	347	469	1865	408	3.27067883614471	2.61066016308988	singletons	Singletons_in_ComplementCluster
YAR008W	347	6949	827	3648	2.91750550955255	3.56205482965638	singletons	Singletons_in_ComplementCluster
YAR014C	504	6949	2129	3726.5	3.32817566143832	3.57130112556627	singletons	Singletons_in_ComplementCluster
YAR015W	504	101	920	302.5	2.96378782734556	2.48072537898849	singletons	Singletons_in_ComplementCluster
YAR018C	508	101	1307	304.5	3.11627558758054	2.48358729696889	singletons	Singletons_in_ComplementCluster
YAR019C	1721	508	2924	1114.5	3.46597736828582	3.04708007281626	singletons	Singletons_in_ComplementCluster
YAR019W-A	3295	1526	332	2410.5	2.52113808370404	3.38210713581903	singletons	Singletons_in_ComplementCluster
YAR020C	2258	1526	167	1892	2.22271647114758	3.27692113206577	singletons	Singletons_in_ComplementCluster
YAR023C	3950	2258	539	3104	2.73158876518674	3.49192171258615	singletons	Singletons_in_ComplementCluster
YAR027W	3950	415	707	2182.5	2.8494194137969	3.33895425237761	SSD	SSD_in_SSDCluster
YAR028W	415	725	704	570	2.84757265914211	2.75587485567249	SSD	SSD_in_SSDCluster
YAR029W	725	291	224	508	2.35024801833416	2.70586371228392	singletons	Singletons_in_SSDCluster
YAR030C	1254	916	341	1085	2.5327543789925	3.03542973818455	SSD	SSD_in_SSDCluster
YAR031W	291	375	896	333	2.95230800966213	2.52244423350632	SSD	SSD_in_SSDCluster
YAR033W	375	1382	704	878.5	2.84757265914211	2.94374176583131	SSD	SSD_in_SSDCluster
YAR035W	1382	81	2063	731.5	3.31449922797315	2.86421433046133	SSD	SSD_in_SSDCluster
YAR035C-A	202	81	80	141.5	1.90308998699194	2.15075643986031	singletons	Singletons_in_ComplementCluster
YAR042W	202	5282	3566	2742	3.55218133883934	3.43806745045349	WGD	WGD_in_WGDCluster
YAR047C	1616	5282	320	3449	2.50514997831991	3.53769319436739	singletons	Singletons_in_ComplementCluster
YAR050W	1616	351	4613	983.5	3.66398345460827	2.99277436425536	SSD	SSD_in_SSDCluster
YAR053W	351	8494	296	4422.5	2.47129171105894	3.64566784158176	singletons	Singletons_in_ComplementCluster
YAR060C	2706	8494	335	5600	2.52504480703685	3.7481880270062	singletons	Singletons_in_ComplementCluster
YAR064W	2706	552	299	1629	2.47567118832443	3.21192108430851	SSD	SSD_in_SSDCluster
YAR066W	552	746	611	649	2.78604121024255	2.81224469680037	SSD	SSD_in_SSDCluster
YAR068W	746	1120	485	933	2.68574173860226	2.9698816437465	singletons	Singletons_in_SSDCluster
YAR069C	259	1120	293	689.5	2.46686762035411	2.83853427051187	singletons	Singletons_in_SSDCluster
YAR070C	598	259	299	428.5	2.47567118832443	2.63195082625922	singletons	Singletons_in_SSDCluster
YAR071W	598	879	1403	738.5	3.14705767102836	2.86835049964797	SSD	SSD_in_SSDCluster
YAR073W	879	1	1211	440	3.08314414314305	2.64345267648619	singletons	Singletons_in_ComplementCluster
YAR075W	1981	1	473	991	2.67486114073781	2.99607365448528	singletons	Singletons_in_ComplementCluster
YBL113C	249	1	2378	125	3.37621185028267	2.09691001300806	singletons	Singletons_in_ComplementCluster
YBL113W-A	1	1454	482	727.5	2.68304703823885	2.86183299765794	singletons	Singletons_in_ComplementCluster
YBL112C	8	1454	317	731	2.50105926221775	2.86391737695786	singletons	Singletons_in_ComplementCluster
YBL111C	781	8	2102	394.5	3.32263271169222	2.59604700754544	singletons	Singletons_in_ComplementCluster
YBL109W	781	1480	335	1130.5	2.52504480703685	3.05327056668138	singletons	Singletons_in_ComplementCluster
YBL108C-A	444	1480	128	962	2.10720996964787	2.98317507203781	singletons	Singletons_in_ComplementCluster
YBL108W	444	786	305	615	2.48429983934679	2.78887511577542	singletons	Singletons_in_ComplementCluster
YBL107W-A	786	589	104	687.5	2.01703333929878	2.8372727025023	singletons	Singletons_in_ComplementCluster
YBL107C	296	589	590	442.5	2.77085201164214	2.64591327503384	singletons	Singletons_in_ComplementCluster
YBL106C	362	296	3032	329	3.48172919696002	2.51719589794997	WGD	WGD_in_WGDCluster
YBL105C	481	362	3455	421.5	3.53844805171022	2.62479757896076	singletons	Singletons_in_ComplementCluster
YBL104C	783	481	3116	632	3.49359744900053	2.80071707828239	singletons	Singletons_in_ComplementCluster
YBL103C	562	783	1460	672.5	3.16435285578444	2.82769228867445	singletons	Singletons_in_ComplementCluster
YBL102W	562	201	647	381.5	2.8109042806687	2.5814945422909	singletons	Singletons_in_ComplementCluster
YBL101C	128	201	3353	164.5	3.52543355342882	2.21616590228599	WGD	WGD_in_WGDCluster
YBL100W-C	128	8443	119	4285.5	2.07554696139253	3.63200149943842	singletons	Singletons_in_ComplementCluster
YBL100C	1842	8443	314	5142.5	2.49692964807321	3.71117430036676	singletons	Singletons_in_ComplementCluster
YBL099W	8507	455	1637	4481	3.21404867941194	3.65137494391304	singletons	Singletons_in_ComplementCluster
YBL098W	455	304	1382	379.5	3.14050804303818	2.5792117802315	singletons	Singletons_in_ComplementCluster
YBL097W	304	79	2264	191.5	3.35487642251623	2.28216877830464	singletons	Singletons_in_ComplementCluster
YBL096C	283	79	308	181	2.48855071650044	2.25767857486918	singletons	Singletons_in_ComplementCluster
YBL095W	182	167	812	174.5	2.90955602924118	2.2417954312952	singletons	Singletons_in_ComplementCluster
YBL094C	159	283	332	221	2.52113808370404	2.34439227368511	singletons	Singletons_in_ComplementCluster
YBL093C	727	159	662	443	2.8208579894397	2.64640372622307	singletons	Singletons_in_ComplementCluster
YBL092W	727	195	725	461	2.86033800657099	2.66370092538965	singletons	Singletons_in_ComplementCluster
YBL091C-A	183	195	615	189	2.78887511577542	2.27646180417324	singletons	Singletons_in_ComplementCluster
YBL091C	197	183	1265	190	3.10209052551184	2.27875360095283	singletons	Singletons_in_ComplementCluster
YBL090W	197	216	533	206.5	2.72672720902657	2.31492005599242	singletons	Singletons_in_ComplementCluster
YBL089W	216	66	1379	141	3.13956426617585	2.14921911265538	WGD	WGD_in_WGDCluster
YBL088C	440	66	8363	253	3.92236209678479	2.40312052117582	SSD	SSD_in_WGDCluster
YBL087C	463	440	917	451.5	2.96236933567002	2.65465775464952	WGD	WGD_in_WGDCluster
YBL086C	1274	463	1400	868.5	3.14612803567824	2.93876982278312	singletons	Singletons_in_WGDCluster
YBL085W	1274	351	2942	812.5	3.46864266839151	2.90982336965091	WGD	WGD_in_WGDCluster
YBL084C	268	351	2276	309.5	3.35717225772303	2.49066065335614	SSD	SSD_in_SSDCluster
YBL083C	1728	268	425	998	2.62838893005031	2.99913054128737	singletons	Singletons_in_ComplementCluster
YBL082C	739	306	1376	522.5	3.13861843389949	2.71808629478309	singletons	Singletons_in_ComplementCluster
YBL081W	739	98	1106	418.5	3.04375512696868	2.62169546232928	singletons	Singletons_in_ComplementCluster
YBL080C	564	98	1625	331	3.21085336531489	2.51982799377572	singletons	Singletons_in_ComplementCluster
YBL079W	564	611	4508	587.5	3.65398390737407	2.76900787094377	WGD	WGD_in_WGDCluster
YBL078C	166	611	353	388.5	2.54777470538782	2.58939102313693	singletons	Singletons_in_WGDCluster
YBL077W	166	3171	431	1668.5	2.63447727016073	3.22232621099081	SSD	SSD_in_WGDCluster
YBL076C	238	312	3218	275	3.50758603976301	2.43933269383026	SSD	SSD_in_WGDCluster
YBL075C	274	238	1949	256	3.28981183911762	2.40823996531185	WGD	WGD_in_WGDCluster
YBL074C	734	274	1067	504	3.02816441942447	2.70243053644553	singletons	Singletons_in_WGDCluster
YBL073W	1198	566	311	882	2.49276038902684	2.94546858513182	singletons	Singletons_in_WGDCluster
YBL072C	18	566	917	292	2.96236933567002	2.46538285144842	WGD	WGD_in_WGDCluster
YBL071C-B	422	18	98	220	1.99122607569249	2.34242268082221	singletons	Singletons_in_WGDCluster
YBL071W-A	422	379	248	400.5	2.39445168082622	2.60260252042026	singletons	Singletons_in_WGDCluster
YBL071C	74	667	308	370.5	2.48855071650044	2.56878821231535	singletons	Singletons_in_WGDCluster
YBL070C	869	74	320	471.5	2.50514997831991	2.67348169707335	WGD	WGD_in_WGDCluster
YBL069W	210	384	1289	297	3.1102529173534	2.47275644931721	WGD	WGD_in_WGDCluster
YBL068W-A	869	384	236	626.5	2.37291200297011	2.79692107533017	WGD	WGD_in_WGDCluster
YBL068W	384	245	980	314.5	2.9912260756925	2.49762064978129	WGD	WGD_in_WGDCluster
YBL067C	787	245	2243	516	3.35082927358297	2.71264970162721	WGD	WGD_in_WGDCluster
YBL066C	256	787	3446	521.5	3.53731527311201	2.71725431276255	SSD	SSD_in_SSDCluster
YBL065W	4081	64	344	2072.5	2.53655844257153	3.31649453922231	SSD	SSD_in_SSDCluster
YBL064C	730	64	785	397	2.89486965674525	2.59879050676312	SSD	SSD_in_SSDCluster
YBL063W	730	87	3335	408.5	3.52309583825257	2.61119206086843	SSD	SSD_in_SSDCluster
YBL062W	87	2244	380	1165.5	2.57978359661681	3.0665122778566	WGD	WGD_in_WGDCluster
YBL061C	526	95	2090	310.5	3.32014628611105	2.4920616045126	WGD	WGD_in_WGDCluster
YBL060W	526	130	2063	328	3.31449922797315	2.51587384371168	singletons	Singletons_in_WGDCluster
YBL059C-A	55	130	414	92.5	2.6170003411209	1.96614173273903	singletons	Singletons_in_WGDCluster
YBL059W	55	193	650	124	2.81291335664286	2.09342168516224	WGD	WGD_in_WGDCluster
YBL058W	193	93	1271	143	3.10414555055401	2.15533603746506	singletons	Singletons_in_WGDCluster
YBL057C	335	93	626	214	2.79657433321043	2.33041377334919	singletons	Singletons_in_WGDCluster
YBL056W	335	405	1406	370	3.14798532068381	2.56820172406699	WGD	WGD_in_WGDCluster
YBL055C	760	405	1256	582.5	3.09898963940118	2.76529592969806	singletons	Singletons_in_WGDCluster
YBL054W	760	169	1577	464.5	3.1978316933289	2.66698571832966	WGD	WGD_in_WGDCluster
YBL053W	169	3044	374	1606.5	2.57287160220048	3.20588072988754	SSD	SSD_in_SSDCluster
YBL052C	879	213	2495	546	3.39707054995941	2.73719264270474	SSD	SSD_in_SSDCluster
YBL051C	366	879	2006	622.5	3.3023309286844	2.79413935576777	singletons	Singletons_in_SSDCluster
YBL050W	366	709	994	537.5	2.99738638439731	2.73037846858764	singletons	Singletons_in_SSDCluster
YBL049W	709	55	416	382	2.61909333062674	2.58206336291171	singletons	Singletons_in_SSDCluster
YBL048W	55	285	311	170	2.49276038902684	2.23044892137827	singletons	Singletons_in_SSDCluster
YBL047C	384	285	4145	334.5	3.61752453488629	2.52439612210384	SSD	SSD_in_SSDCluster
YBL046W	384	394	1325	389	3.12221587827283	2.58994960132571	singletons	Singletons_in_ComplementCluster
YBL045C	482	394	1373	438	3.13767053723676	2.6414741105041	singletons	Singletons_in_ComplementCluster
YBL044W	482	322	368	402	2.56584781867352	2.60422605308447	singletons	Singletons_in_ComplementCluster
YBL043W	322	880	773	601	2.88817949391832	2.77887447200274	WGD	WGD_in_WGDCluster
YBL042C	987	880	1919	933.5	3.28307497473547	2.9701143222851	singletons	Singletons_in_WGDCluster
YBL041W	987	140	725	563.5	2.86033800657099	2.75089392038213	SSD	SSD_in_WGDCluster
YBL040C	525	140	756	332.5	2.87852179550121	2.52179164963912	singletons	Singletons_in_WGDCluster
YBL039W-B	525	417	179	471	2.25285303097989	2.6730209071289	singletons	Singletons_in_WGDCluster
YBL039C	459	417	1739	438	3.24029958200271	2.6414741105041	WGD	WGD_in_WGDCluster
YBL039C-A	1156	1376	83	1266	1.91907809237607	3.10243370568134	WGD	WGD_in_WGDCluster
YBL038W	459	324	698	391.5	2.84385542262316	2.59273176639396	singletons	Singletons_in_ComplementCluster
YBL037W	324	161	3077	242.5	3.48812749624746	2.38471174293828	singletons	Singletons_in_ComplementCluster
YBL036C	273	161	773	217	2.88817949391832	2.33645973384853	singletons	Singletons_in_ComplementCluster
YBL035C	238	273	2117	255.5	3.32572085801941	2.40739090447073	singletons	Singletons_in_ComplementCluster
YBL034C	267	238	4541	252.5	3.65715150190097	2.40226138245468	singletons	Singletons_in_ComplementCluster
YBL033C	491	267	1037	379	3.01577875638904	2.57863920996807	singletons	Singletons_in_ComplementCluster
YBL032W	491	370	1145	430.5	3.05880548667591	2.63397315578967	SSD	SSD_in_SSDCluster
YBL031W	370	326	1016	348	3.0068937079479	2.54157924394658	singletons	Singletons_in_ComplementCluster
YBL030C	491	326	956	408.5	2.9804578922761	2.61119206086843	WGD	WGD_in_WGDCluster
YBL029C-A	1362	491	284	926.5	2.45331834004704	2.96684542365492	singletons	Singletons_in_WGDCluster
YBL029W	1362	254	1130	808	3.05307844348342	2.90741136077459	singletons	Singletons_in_WGDCluster
YBL028C	585	254	320	419.5	2.50514997831991	2.62273196516472	singletons	Singletons_in_WGDCluster
YBL027W	585	1247	953	916	2.97909290063833	2.96189547366785	WGD	WGD_in_WGDCluster
YBL026W	1247	443	415	845	2.61804809671209	2.92685670894969	singletons	Singletons_in_ComplementCluster
YBL025W	443	616	437	529.5	2.64048143697042	2.7238659644435	singletons	Singletons_in_ComplementCluster
YBL024W	616	332	2054	474	3.31260043926126	2.67577834167409	SSD	SSD_in_SSDCluster
YBL023C	348	332	2606	340	3.41597441137657	2.53147891704225	singletons	Singletons_in_ComplementCluster
YBL022C	385	348	3401	366.5	3.53160663193272	2.56407397897715	singletons	Singletons_in_ComplementCluster
YBL021C	307	385	434	346	2.63748972951251	2.53907609879278	singletons	Singletons_in_ComplementCluster
YBL020W	307	228	1724	267.5	3.23653726148869	2.42732378635725	singletons	Singletons_in_ComplementCluster
YBL019W	228	83	1562	155.5	3.19368102954128	2.19173039336286	singletons	Singletons_in_ComplementCluster
YBL018C	370	83	476	226.5	2.67760695272049	2.35506820634885	singletons	Singletons_in_ComplementCluster
YBL017C	868	370	4739	619	3.6756867086994	2.79169064902012	singletons	Singletons_in_ComplementCluster
YBL016W	868	610	1061	739	3.02571538390134	2.86864443839483	SSD	SSD_in_SSDCluster
YBL015W	610	3362	1580	1986	3.19865708695442	3.29797924415936	singletons	Singletons_in_ComplementCluster
YBL014C	308	3362	2684	1835	3.42878251149695	3.26363606858811	singletons	Singletons_in_ComplementCluster
YBL013W	308	145	1205	226.5	3.08098704691089	2.35506820634885	singletons	Singletons_in_ComplementCluster
YBL012C	2300	145	401	1222.5	2.60314437262018	3.08724886779566	SSD	SSD_in_SSDCluster
YBL011W	277	290	2279	283.5	3.35774432518038	2.45255306322893	SSD	SSD_in_SSDCluster
YBL010C	245	290	842	267.5	2.92531209149965	2.42732378635725	singletons	Singletons_in_SSDCluster
YBL009W	245	185	2030	215	3.30749603791321	2.33243845991561	WGD	WGD_in_SSDCluster
YBL008W-A	185	5	239	95	2.37839790094814	1.97772360528885	singletons	Singletons_in_SSDCluster
YBL008W	5	457	2522	231	3.40174508223706	2.36361197989214	SSD	SSD_in_SSDCluster
YBL007C	221	457	3734	339	3.57217431361306	2.53019969820308	singletons	Singletons_in_ComplementCluster
YBL006C	341	221	542	281	2.73399928653839	2.44870631990508	singletons	Singletons_in_ComplementCluster
YBL006W-A	345	610	149	477.5	2.17318626841227	2.67897337591977	singletons	Singletons_in_ComplementCluster
YBL005W	341	7236	2930	3788.5	3.46686762035411	3.57846729158545	WGD	WGD_in_WGDCluster
YBL004W	7236	277	7481	3756.5	3.87395965474335	3.57478339317578	singletons	Singletons_in_ComplementCluster
YBL003C	700	277	398	488.5	2.59988307207369	2.68886456805479	SSD	SSD_in_SSDCluster
YBL002W	700	266	395	483	2.59659709562646	2.68394713075151	SSD	SSD_in_SSDCluster
YBL001C	1474	266	314	870	2.49692964807321	2.93951925261862	singletons	Singletons_in_SSDCluster
YBR001C	425	1474	2342	949.5	3.36958689073634	2.97749496907304	WGD	WGD_in_SSDCluster
YBR002C	241	425	860	333	2.93449845124357	2.52244423350632	SSD	SSD_in_SSDCluster
YBR003W	241	136	1421	188.5	3.15259407792747	2.27531135454181	singletons	Singletons_in_ComplementCluster
YBR004C	239	136	1301	187.5	3.11427729656159	2.27300127206374	singletons	Singletons_in_ComplementCluster
YBR005W	239	463	641	351	2.80685802951882	2.54530711646582	WGD	WGD_in_WGDCluster
YBR006W	463	303	1493	383	3.17405980772503	2.58319877396862	singletons	Singletons_in_ComplementCluster
YBR007C	1547	303	2210	925	3.34439227368511	2.96614173273903	singletons	Singletons_in_ComplementCluster
YBR008C	1164	1547	1646	1355.5	3.21642983087625	3.1320995219165	singletons	Singletons_in_ComplementCluster
YBR009C	647	1164	311	905.5	2.49276038902684	2.95688845465008	SSD	SSD_in_SSDCluster
YBR010W	647	371	410	509	2.61278385671974	2.70671778233676	SSD	SSD_in_SSDCluster
YBR011C	1172	371	863	771.5	2.93601079571521	2.88733593039917	SSD	SSD_in_SSDCluster
YBR012C	5926	1172	419	3549	2.6222140229663	3.55010599934759	singletons	Singletons_in_ComplementCluster
YBR013C	844	5926	389	3385	2.58994960132571	3.52955867302116	singletons	Singletons_in_ComplementCluster
YBR014C	374	844	611	609	2.78604121024255	2.78461729263288	WGD	WGD_in_WGDCluster
YBR015C	744	374	1793	559	3.25358028956218	2.74741180788642	SSD	SSD_in_SSDCluster
YBR016W	744	314	386	529	2.58658730467176	2.72345567203519	WGD	WGD_in_SSDCluster
YBR017C	724	314	2756	519	3.44027921323559	2.71516735784846	SSD	SSD_in_SSDCluster
YBR018C	726	724	1100	725	3.04139268515822	2.86033800657099	singletons	Singletons_in_SSDCluster
YBR019C	669	726	2099	697.5	3.3220124385824	2.84354421194564	singletons	Singletons_in_SSDCluster
YBR020W	669	836	1586	752.5	3.20030318298158	2.87650650426588	WGD	WGD_in_SSDCluster
YBR021W	836	394	1901	615	3.27898211686544	2.78887511577542	SSD	SSD_in_SSDCluster
YBR022W	394	157	533	275.5	2.72672720902657	2.4401216031878	singletons	Singletons_in_SSDCluster
YBR023C	1520	157	3497	838.5	3.54369563230924	2.9235030669421	singletons	Singletons_in_SSDCluster
YBR024W	1520	331	905	925.5	2.9566485792052	2.96637642308892	WGD	WGD_in_SSDCluster
YBR025C	1012	331	1184	671.5	3.0733517023869	2.82704601700473	SSD	SSD_in_SSDCluster
YBR026C	5	1012	1142	508.5	3.05766610390983	2.70629095725876	singletons	Singletons_in_ComplementCluster
YBR027C	69	5	332	37	2.52113808370404	1.56820172406699	singletons	Singletons_in_ComplementCluster
YBR028C	367	69	1577	218	3.1978316933289	2.3384564936046	singletons	Singletons_in_ComplementCluster
YBR029C	550	367	1373	458.5	3.13767053723676	2.66133934000604	singletons	Singletons_in_ComplementCluster
YBR030W	550	216	1658	383	3.21958452621425	2.58319877396862	singletons	Singletons_in_ComplementCluster
YBR031W	216	265	1088	240.5	3.03662889536216	2.38111508070985	WGD	WGD_in_WGDCluster
YBR032W	265	123	302	194	2.48000694295715	2.28780172993023	singletons	Singletons_in_ComplementCluster
YBR033W	123	227	2759	175	3.44075170047919	2.24303804868629	SSD	SSD_in_SSDCluster
