chrom	start	end	Gene	codingDensity	geneType	geneClusterType
chrI	119879	131787	YAL016W	0.882264	singletons	Singletons_in_WGDCluster
chrI	121903	133103	YAL015C	0.886518	WGD	WGD_in_WGDCluster
chrI	123252	134020	YAL014C	0.881965	singletons	Singletons_in_ComplementCluster
chrI	124270	135533	YAL013W	0.877741	singletons	Singletons_in_ComplementCluster
chrI	125801	136986	YAL012W	0.859455	SSD	SSD_in_SSDCluster
chrI	127201	139079	YAL011W	0.800051	singletons	Singletons_in_ComplementCluster
chrI	129185	140667	YAL010C	0.783487	singletons	Singletons_in_ComplementCluster
chrI	130855	141635	YAL009W	0.783395	singletons	Singletons_in_ComplementCluster
chrI	131915	142512	YAL008W	0.728697	singletons	Singletons_in_ComplementCluster
chrI	132699	143347	YAL007C	0.732814	WGD	WGD_in_WGDCluster
chrI	134504	146433	YAL005C	0.740129	SSD	SSD_in_SSDCluster
chrI	135761	146409	YAL004W	0.717693	SSD	SSD_in_SSDCluster
chrI	137175	148162	YAL003W	0.754801	singletons	Singletons_in_ComplementCluster
chrI	137368	147470	snR18	0.739458	singletons	Singletons_in_ComplementCluster
chrI	138708	152533	YAL002W	0.765931	singletons	Singletons_in_ComplementCluster
chrI	142595	156168	YAL001C	0.840418	singletons	Singletons_in_ComplementCluster
chrI	147258	158878	YAR002W	0.798193	singletons	Singletons_in_ComplementCluster
chrI	149066	159726	YAR002C-A	0.77758	WGD	WGD_in_WGDCluster
chrI	150006	161287	YAR003W	0.718642	singletons	Singletons_in_ComplementCluster
chrI	151755	163621	YAR007C	0.781982	singletons	Singletons_in_ComplementCluster
chrI	153966	164794	YAR008W	0.782785	singletons	Singletons_in_ComplementCluster
chrI	155597	169188	YAR009C	0.766831	singletons	Singletons_in_ComplementCluster
chrI	159544	170867	YAR010C	0.767111	singletons	Singletons_in_ComplementCluster
chrI	161742	173866	YAR014C	0.806664	singletons	Singletons_in_ComplementCluster
chrI	164369	175290	YAR015W	0.801941	singletons	Singletons_in_ComplementCluster
chrI	165390	176698	YAR018C	0.704103	singletons	Singletons_in_ComplementCluster
chrI	167208	180133	YAR019C	0.597834	singletons	Singletons_in_ComplementCluster
chrI	169995	180340	YAR019W-A	0.526148	singletons	Singletons_in_ComplementCluster
chrI	171853	182021	YAR020C	0.377655	singletons	Singletons_in_ComplementCluster
chrI	174278	184818	YAR023C	0.235104	singletons	Singletons_in_ComplementCluster
chrI	178763	189471	YAR027W	0.38009	SSD	SSD_in_SSDCluster
chrI	179885	190590	YAR028W	0.367492	SSD	SSD_in_SSDCluster
chrI	181314	191539	YAR029W	0.477555	singletons	Singletons_in_SSDCluster
chrI	181505	191847	YAR030C	0.501934	SSD	SSD_in_SSDCluster
chrI	181829	192726	YAR031W	0.531247	SSD	SSD_in_SSDCluster
chrI	183100	193805	YAR033W	0.641569	SSD	SSD_in_SSDCluster
chrI	185186	197250	YAR035W	0.682444	SSD	SSD_in_SSDCluster
chrI	187330	197411	YAR035C-A	0.675826	singletons	Singletons_in_ComplementCluster
chrI	187612	201179	YAR042W	0.481389	WGD	WGD_in_WGDCluster
chrI	196459	206780	YAR047C	0.359268	singletons	Singletons_in_ComplementCluster
chrI	198393	213007	YAR050W	0.358013	SSD	SSD_in_SSDCluster
chrI	203357	213654	YAR053W	0.476935	singletons	Singletons_in_ComplementCluster
chrI	212147	222483	YAR060C	0.206656	singletons	Singletons_in_ComplementCluster
chrI	213130	223334	YAR061W	0.248432	singletons	Singletons_in_ComplementCluster
chrI	213539	224136	YAR062W	0.251958	singletons	Singletons_in_ComplementCluster
chrI	215188	225488	YAR064W	0.307476	SSD	SSD_in_SSDCluster
chrI	216039	226651	YAR066W	0.408029	SSD	SSD_in_SSDCluster
chrI	217396	227882	YAR068W	0.42285	singletons	Singletons_in_SSDCluster
chrI	219001	229295	YAR069C	0.494851	singletons	Singletons_in_SSDCluster
chrI	219553	229853	YAR070C	0.482718	singletons	Singletons_in_SSDCluster
chrI	220450	230208	YAR071W	0.482681	SSD	SSD_in_SSDCluster
chrI	222732	230208	YAR073W	0.498127	singletons	Singletons_in_ComplementCluster
chrI	223834	230208	YAR075W	0.560715	singletons	Singletons_in_ComplementCluster
chrII	1	6628	YBL113W-A	0.515618	singletons	Singletons_in_ComplementCluster
chrII	1	10009	YBL111C	0.40028	singletons	Singletons_in_ComplementCluster
chrII	1	7899	YBL112C	0.448974	singletons	Singletons_in_ComplementCluster
chrII	789	11125	YBL109W	0.447949	singletons	Singletons_in_ComplementCluster
chrII	2604	12733	YBL108C-A	0.548425	singletons	Singletons_in_ComplementCluster
chrII	3176	13482	YBL108W	0.55686	singletons	Singletons_in_ComplementCluster
chrII	4267	14372	YBL107W-A	0.512321	singletons	Singletons_in_ComplementCluster
chrII	4960	15354	YBL107C	0.52588	singletons	Singletons_in_ComplementCluster
chrII	5846	18879	YBL106C	0.644901	WGD	WGD_in_WGDCluster
chrII	9240	22696	YBL105C	0.797191	singletons	Singletons_in_ComplementCluster
chrII	13176	26293	YBL104C	0.818251	singletons	Singletons_in_ComplementCluster
chrII	17074	28535	YBL103C	0.812407	singletons	Singletons_in_ComplementCluster
chrII	19097	29745	YBL102W	0.73056	singletons	Singletons_in_ComplementCluster
chrII	19945	33299	YBL101C	0.77123	WGD	WGD_in_WGDCluster
chrII	23426	33546	YBL100W-C	0.775296	singletons	Singletons_in_ComplementCluster
chrII	24931	40245	YBL100W-B	0.757085	singletons	Singletons_in_ComplementCluster
chrII	24931	36248	YBL100W-A	0.776531	singletons	Singletons_in_ComplementCluster
chrII	31985	42300	YBL100C	0.757925	singletons	Singletons_in_ComplementCluster
chrII	32049	43687	YBL099W	0.778742	singletons	Singletons_in_ComplementCluster
chrII	34141	45524	YBL098W	0.706404	singletons	Singletons_in_ComplementCluster
chrII	35827	48092	YBL097W	0.707623	singletons	Singletons_in_ComplementCluster
chrII	38170	48479	YBL096C	0.764478	singletons	Singletons_in_ComplementCluster
chrII	38273	49086	YBL095W	0.757329	singletons	Singletons_in_ComplementCluster
chrII	38761	49094	YBL094C	0.753218	singletons	Singletons_in_ComplementCluster
chrII	39252	49915	YBL093C	0.776329	singletons	Singletons_in_ComplementCluster
chrII	40974	51367	YBL092W	0.793419	singletons	Singletons_in_ComplementCluster
chrII	41561	52177	YBL091C-A	0.797758	singletons	Singletons_in_ComplementCluster
chrII	42359	53625	YBL091C	0.809427	singletons	Singletons_in_ComplementCluster
chrII	43821	54355	YBL090W	0.803588	singletons	Singletons_in_ComplementCluster
chrII	44570	55950	YBL089W	0.832074	WGD	WGD_in_WGDCluster
chrII	46015	64379	YBL088C	0.835221	SSD	SSD_in_WGDCluster
chrII	54817	65735	YBL087C	0.800879	WGD	WGD_in_WGDCluster
chrII	56198	67599	YBL086C	0.778616	singletons	Singletons_in_WGDCluster
chrII	58872	71815	YBL085W	0.730974	WGD	WGD_in_WGDCluster
chrII	62165	74442	YBL084C	0.77804	SSD	SSD_in_SSDCluster
chrII	64709	75135	YBL083C	0.818243	singletons	Singletons_in_ComplementCluster
chrII	64747	76124	YBL082C	0.822888	singletons	Singletons_in_ComplementCluster
chrII	66862	77969	YBL081W	0.822814	singletons	Singletons_in_ComplementCluster
chrII	68066	79692	YBL080C	0.856787	singletons	Singletons_in_ComplementCluster
chrII	70255	84764	YBL079W	0.833827	WGD	WGD_in_WGDCluster
chrII	75374	85728	YBL078C	0.902163	singletons	Singletons_in_WGDCluster
chrII	75894	86326	YBL077W	0.902895	SSD	SSD_in_WGDCluster
chrII	76040	89259	YBL076C	0.856343	SSD	SSD_in_WGDCluster
chrII	79496	91446	YBL075C	0.783347	WGD	WGD_in_WGDCluster
chrII	81719	92787	YBL074C	0.80159	singletons	Singletons_in_WGDCluster
chrII	82643	92955	YBL073W	0.787044	singletons	Singletons_in_WGDCluster
chrII	83187	93275	snR56	0.782316	singletons	Singletons_in_ComplementCluster
chrII	83520	94123	YBL072C	0.769782	WGD	WGD_in_WGDCluster
chrII	84455	94554	YBL071C-B	0.777701	singletons	Singletons_in_WGDCluster
chrII	84975	95224	YBL071W-A	0.784955	singletons	Singletons_in_WGDCluster
chrII	85220	95529	YBL071C	0.786206	singletons	Singletons_in_WGDCluster
chrII	85602	95923	YBL070C	0.782676	WGD	WGD_in_WGDCluster
chrII	85738	97028	YBL069W	0.703454	WGD	WGD_in_WGDCluster
chrII	86791	97028	YBL068W-A	0.699619	WGD	WGD_in_WGDCluster
chrII	87411	98395	YBL068W	0.595594	WGD	WGD_in_WGDCluster
chrII	88640	100884	YBL067C	0.60887	WGD	WGD_in_WGDCluster
chrII	93969	105617	YBL066C	0.620192	SSD	SSD_in_SSDCluster
chrII	94872	105634	YBL064C	0.588924	SSD	SSD_in_SSDCluster
chrII	94964	105194	YBL065W	0.575953	SSD	SSD_in_SSDCluster
chrII	96887	110223	YBL063W	0.694436	SSD	SSD_in_SSDCluster
chrII	100309	110690	YBL062W	0.802813	WGD	WGD_in_WGDCluster
chrII	100317	112408	YBL061C	0.814821	WGD	WGD_in_WGDCluster
chrII	102933	114997	YBL060W	0.884367	singletons	Singletons_in_WGDCluster
chrII	105126	115541	YBL059C-A	0.830533	singletons	Singletons_in_WGDCluster
chrII	105595	116246	YBL059W	0.83917	WGD	WGD_in_WGDCluster
chrII	106438	117710	YBL058W	0.780696	singletons	Singletons_in_WGDCluster
chrII	107802	118447	YBL057C	0.804791	singletons	Singletons_in_WGDCluster
chrII	108764	120171	YBL056W	0.814588	WGD	WGD_in_WGDCluster
chrII	110575	121832	YBL055C	0.826597	singletons	Singletons_in_WGDCluster
chrII	112591	124169	YBL054W	0.773881	WGD	WGD_in_WGDCluster
chrII	114337	124712	YBL053W	0.787084	SSD	SSD_in_SSDCluster
chrII	114381	126877	YBL052C	0.737356	SSD	SSD_in_SSDCluster
chrII	117755	129762	YBL051C	0.795369	singletons	Singletons_in_SSDCluster
chrII	120127	131122	YBL050W	0.791814	singletons	Singletons_in_SSDCluster
chrII	121830	132247	YBL049W	0.76068	singletons	Singletons_in_SSDCluster
chrII	122301	132613	YBL048W	0.782002	singletons	Singletons_in_SSDCluster
chrII	122897	137043	YBL047C	0.788704	SSD	SSD_in_SSDCluster
chrII	127426	138752	YBL046W	0.75799	singletons	Singletons_in_ComplementCluster
chrII	129145	140519	YBL045C	0.761474	singletons	Singletons_in_ComplementCluster
chrII	131000	141369	YBL044W	0.667953	singletons	Singletons_in_ComplementCluster
chrII	131690	142464	YBL043W	0.667533	WGD	WGD_in_WGDCluster
chrII	133343	145263	YBL042C	0.652768	singletons	Singletons_in_WGDCluster
chrII	136249	146975	YBL041W	0.644788	SSD	SSD_in_WGDCluster
chrII	137114	147871	YBL040C	0.653714	singletons	Singletons_in_WGDCluster
chrII	138395	148575	YBL039W-B	0.720432	singletons	Singletons_in_WGDCluster
chrII	138991	150731	YBL039C	0.743952	WGD	WGD_in_WGDCluster
chrII	139950	150034	YBL039C-A	0.717771	WGD	WGD_in_WGDCluster
chrII	141189	151888	YBL038W	0.780166	singletons	Singletons_in_ComplementCluster
chrII	142211	155289	YBL037W	0.81725	singletons	Singletons_in_ComplementCluster
chrII	145449	156223	YBL036C	0.865417	singletons	Singletons_in_ComplementCluster
chrII	146495	158613	YBL035C	0.899901	singletons	Singletons_in_ComplementCluster
chrII	148850	163392	YBL034C	0.854284	singletons	Singletons_in_ComplementCluster
chrII	153658	164696	YBL033C	0.806849	singletons	Singletons_in_ComplementCluster
chrII	155186	166332	YBL032W	0.70384	SSD	SSD_in_SSDCluster
chrII	156701	167718	YBL031W	0.677408	singletons	Singletons_in_ComplementCluster
chrII	158043	169000	YBL030C	0.622342	WGD	WGD_in_WGDCluster
chrII	159490	169775	YBL029C-A	0.585027	singletons	Singletons_in_WGDCluster
chrII	161136	172267	YBL029W	0.513431	singletons	Singletons_in_WGDCluster
chrII	162520	172841	YBL028C	0.484934	singletons	Singletons_in_WGDCluster
chrII	163425	174379	YBL027W	0.544367	WGD	WGD_in_WGDCluster
chrII	165625	176041	YBL026W	0.617704	singletons	Singletons_in_ComplementCluster
chrII	166483	176921	YBL025W	0.667465	singletons	Singletons_in_ComplementCluster
chrII	167536	179591	YBL024W	0.704272	SSD	SSD_in_SSDCluster
chrII	169922	182529	YBL023C	0.751884	singletons	Singletons_in_ComplementCluster
chrII	172876	186278	YBL022C	0.874869	singletons	Singletons_in_ComplementCluster
chrII	176662	187097	YBL021C	0.835649	singletons	Singletons_in_ComplementCluster
chrII	177403	189128	YBL020W	0.853731	singletons	Singletons_in_ComplementCluster
chrII	179355	190918	YBL019W	0.881692	singletons	Singletons_in_ComplementCluster
chrII	181000	191477	YBL018C	0.869428	singletons	Singletons_in_ComplementCluster
chrII	181846	196586	YBL017C	0.773338	singletons	Singletons_in_ComplementCluster
chrII	187453	198515	YBL016W	0.612547	SSD	SSD_in_SSDCluster
chrII	189124	200705	YBL015W	0.582333	singletons	Singletons_in_ComplementCluster
chrII	194066	206751	YBL014C	0.672132	singletons	Singletons_in_ComplementCluster
chrII	197058	208264	YBL013W	0.733	singletons	Singletons_in_ComplementCluster
chrII	198408	208810	YBL012C	0.842146	SSD	SSD_in_SSDCluster
chrII	198540	210820	YBL011W	0.861726	SSD	SSD_in_SSDCluster
chrII	201109	211952	YBL010C	0.891912	singletons	Singletons_in_SSDCluster
chrII	202196	214227	YBL009W	0.8902	WGD	WGD_in_SSDCluster
chrII	204411	214651	YBL008W-A	0.885059	singletons	Singletons_in_SSDCluster
chrII	204655	217178	YBL008W	0.884772	SSD	SSD_in_SSDCluster
chrII	207634	221369	YBL007C	0.844703	singletons	Singletons_in_ComplementCluster
chrII	211589	222132	YBL006C	0.815517	singletons	Singletons_in_ComplementCluster
chrII	211713	221863	YBL006W-A	0.808374	singletons	Singletons_in_ComplementCluster
chrII	212472	225403	YBL005W	0.872322	WGD	WGD_in_WGDCluster
chrII	216332	231601	YBL005W-B	0.834567	singletons	Singletons_in_ComplementCluster
chrII	216332	227655	YBL005W-A	0.776914	singletons	Singletons_in_ComplementCluster
chrII	222638	240120	YBL004W	0.785551	singletons	Singletons_in_ComplementCluster
chrII	230396	240795	YBL003C	0.739206	SSD	SSD_in_SSDCluster
chrII	231494	241890	YBL002W	0.698346	SSD	SSD_in_SSDCluster
chrII	232154	242469	YBL001C	0.695977	singletons	Singletons_in_SSDCluster
chrII	233942	246285	YBR001C	0.696265	WGD	WGD_in_SSDCluster
chrII	236709	247570	YBR002C	0.702053	SSD	SSD_in_SSDCluster
chrII	237810	249232	YBR003W	0.743302	singletons	Singletons_in_ComplementCluster
chrII	239367	250669	YBR004C	0.840736	singletons	Singletons_in_ComplementCluster
chrII	240907	251549	YBR005W	0.780868	WGD	WGD_in_WGDCluster
chrII	242011	253505	YBR006W	0.74578	singletons	Singletons_in_ComplementCluster
chrII	243806	256017	YBR007C	0.657931	singletons	Singletons_in_ComplementCluster
chrII	247563	259210	YBR008C	0.554048	singletons	Singletons_in_ComplementCluster
chrII	250370	260682	YBR009C	0.496218	SSD	SSD_in_SSDCluster
chrII	251328	261739	YBR010W	0.530881	SSD	SSD_in_SSDCluster
chrII	252109	262973	YBR011C	0.622331	SSD	SSD_in_SSDCluster
chrII	254144	264564	YBR012C	0.649808	singletons	Singletons_in_ComplementCluster
chrII	254866	270138	YBR012W-B	0.659704	singletons	Singletons_in_ComplementCluster
chrII	254866	266189	YBR012W-A	0.677294	singletons	Singletons_in_ComplementCluster
chrII	260489	270879	YBR013C	0.753802	singletons	Singletons_in_ComplementCluster
chrII	261724	272336	YBR014C	0.752639	WGD	WGD_in_WGDCluster
chrII	262709	274503	YBR015C	0.716127	SSD	SSD_in_SSDCluster
chrII	265246	275633	YBR016W	0.677867	WGD	WGD_in_SSDCluster
chrII	265946	278703	YBR017C	0.685976	SSD	SSD_in_SSDCluster
chrII	269426	280527	YBR018C	0.71426	singletons	Singletons_in_SSDCluster
chrII	271252	283352	YBR019C	0.755455	singletons	Singletons_in_SSDCluster
chrII	274020	285607	YBR020W	0.725296	WGD	WGD_in_SSDCluster
chrII	276442	288344	YBR021W	0.792388	SSD	SSD_in_SSDCluster
chrII	278737	289271	YBR022W	0.713974	singletons	Singletons_in_SSDCluster
chrII	279427	292925	YBR023C	0.685583	singletons	Singletons_in_SSDCluster
chrII	284444	295350	YBR024W	0.731157	WGD	WGD_in_SSDCluster
chrII	285680	296865	YBR025C	0.705141	SSD	SSD_in_SSDCluster
chrII	287876	299019	YBR026C	0.654761	singletons	Singletons_in_ComplementCluster
chrII	289023	299356	YBR027C	0.733959	singletons	Singletons_in_ComplementCluster
chrII	289424	301002	YBR028C	0.778632	singletons	Singletons_in_ComplementCluster
chrII	291368	302742	YBR029C	0.771496	singletons	Singletons_in_ComplementCluster
chrII	293291	304950	YBR030W	0.844412	singletons	Singletons_in_ComplementCluster
chrII	295165	306254	YBR031W	0.817837	WGD	WGD_in_WGDCluster
chrII	296518	306821	YBR032W	0.838105	singletons	Singletons_in_ComplementCluster
chrII	296943	309703	YBR033W	0.81732	SSD	SSD_in_SSDCluster
chrII	299929	310976	YBR034C	0.816059	singletons	Singletons_in_SSDCluster
chrII	301268	311955	YBR035C	0.789651	singletons	Singletons_in_SSDCluster
chrII	302184	312345	snR161	0.815373	singletons	Singletons_in_ComplementCluster
chrII	302586	313887	TLC1	0.833997	singletons	Singletons_in_SSDCluster
chrII	304080	315313	YBR036C	0.786255	singletons	Singletons_in_SSDCluster
chrII	305563	316451	YBR037C	0.776267	WGD	WGD_in_SSDCluster
chrII	306896	319788	YBR038W	0.767142	SSD	SSD_in_SSDCluster
chrII	310574	321510	YBR039W	0.796178	singletons	Singletons_in_SSDCluster
chrII	311967	322864	YBR040W	0.811875	singletons	Singletons_in_SSDCluster
chrII	313265	325275	YBR041W	0.796753	singletons	Singletons_in_SSDCluster
chrII	315415	326609	YBR042C	0.788726	WGD	WGD_in_SSDCluster
chrII	316875	328945	YBR043C	0.70174	SSD	SSD_in_SSDCluster
chrII	319336	331058	YBR044C	0.699625	singletons	Singletons_in_ComplementCluster
chrII	323368	335090	YBR045C	0.617898	singletons	Singletons_in_ComplementCluster
chrII	325504	336509	YBR046C	0.628532	singletons	Singletons_in_ComplementCluster
chrII	326830	337358	YBR047W	0.650456	singletons	Singletons_in_ComplementCluster
chrII	327828	338810	YBR048W	0.721089	singletons	Singletons_in_ComplementCluster
chrII	329383	341816	YBR049C	0.685353	WGD	WGD_in_WGDCluster
chrII	332180	343197	YBR050C	0.595262	WGD	WGD_in_WGDCluster
chrII	332985	343336	YBR051W	0.614627	WGD	WGD_in_WGDCluster
chrII	333717	344350	YBR052C	0.604439	WGD	WGD_in_WGDCluster
chrII	334672	345749	YBR053C	0.649544	singletons	Singletons_in_WGDCluster
chrII	338098	349133	YBR054W	0.628908	WGD	WGD_in_WGDCluster
chrII	339599	352299	YBR055C	0.52189	singletons	Singletons_in_ComplementCluster
chrII	342876	354382	YBR056W	0.630627	singletons	Singletons_in_ComplementCluster
chrII	346252	356453	YBR056W-A	0.620821	singletons	Singletons_in_ComplementCluster
chrII	346290	356449	YBR056C-B	0.619254	singletons	Singletons_in_ComplementCluster
chrII	347190	358291	YBR057C	0.625079	singletons	Singletons_in_ComplementCluster
chrII	348669	361015	YBR058C	0.67204	singletons	Singletons_in_ComplementCluster
chrII	351321	361564	YBR058C-A	0.787269	singletons	Singletons_in_ComplementCluster
chrII	351858	365185	YBR059C	0.696406	singletons	Singletons_in_ComplementCluster
chrII	355649	367512	YBR060C	0.666105	singletons	Singletons_in_ComplementCluster
chrII	359784	370717	YBR061C	0.622153	SSD	SSD_in_SSDCluster
chrII	360973	371598	YBR062C	0.571953	singletons	Singletons_in_SSDCluster
chrII	361967	373182	YBR063C	0.509675	singletons	Singletons_in_SSDCluster
chrII	362760	373189	YBR064W	0.495829	singletons	Singletons_in_SSDCluster
chrII	363581	374676	YBR065C	0.539883	singletons	Singletons_in_SSDCluster
chrII	365034	375697	YBR066C	0.633124	WGD	WGD_in_SSDCluster
chrII	367099	377732	YBR067C	0.608765	SSD	SSD_in_SSDCluster
chrII	368857	380687	YBR068C	0.574725	WGD	WGD_in_SSDCluster
chrII	371570	383430	YBR069C	0.573693	singletons	Singletons_in_SSDCluster
chrII	374217	384931	YBR070C	0.682472	singletons	Singletons_in_SSDCluster
chrII	375407	386043	YBR071W	0.674502	singletons	Singletons_in_SSDCluster
chrII	377026	387671	YBR072W	0.735463	SSD	SSD_in_SSDCluster
chrII	377854	388016	YBR072C-A	0.722889	singletons	Singletons_in_SSDCluster
chrII	378106	390983	YBR073W	0.691465	SSD	SSD_in_SSDCluster
chrII	381280	394211	YBR074W	0.730106	singletons	Singletons_in_ComplementCluster
chrII	385368	396388	YBR076W	0.728403	singletons	Singletons_in_ComplementCluster
chrII	386344	396611	YBR076C-A	0.737411	singletons	Singletons_in_ComplementCluster
chrII	386798	397287	YBR077C	0.742969	singletons	Singletons_in_ComplementCluster
chrII	388117	399854	YBR078W	0.741672	WGD	WGD_in_WGDCluster
chrII	390376	403271	YBR079C	0.826522	singletons	Singletons_in_ComplementCluster
chrII	393607	405884	YBR080C	0.848579	singletons	Singletons_in_ComplementCluster
chrII	396246	410245	YBR081C	0.709051	singletons	Singletons_in_ComplementCluster
chrII	401621	412163	YBR082C	0.639632	singletons	Singletons_in_ComplementCluster
chrII	404162	415623	YBR083W	0.61862	singletons	Singletons_in_ComplementCluster
chrII	406047	418975	YBR084W	0.541925	SSD	SSD_in_SSDCluster
chrII	409179	420255	YBR084C-A	0.604099	singletons	Singletons_in_ComplementCluster
chrII	410976	421900	YBR085W	0.630904	WGD	WGD_in_WGDCluster
chrII	413900	424158	YBR085C-A	0.543381	singletons	Singletons_in_WGDCluster
chrII	415194	428035	YBR086C	0.582899	singletons	Singletons_in_WGDCluster
chrII	418758	429823	YBR087W	0.708721	singletons	Singletons_in_WGDCluster
chrII	419983	430760	YBR088C	0.790665	singletons	Singletons_in_WGDCluster
chrII	420176	430776	YBR089W	0.805377	singletons	Singletons_in_WGDCluster
chrII	421183	431483	YBR089C-A	0.749223	WGD	WGD_in_WGDCluster
chrII	421326	432052	YBR090C	0.708279	WGD	WGD_in_WGDCluster
